BlueprintCategory/&BarrierTitle	Barriere
BlueprintCategory/&EmptyRoomsTitle	Stanze vuote
BlueprintCategory/&EncounterTitle	Incontri
BlueprintCategory/&FurnishedRoomsTitle	Camere arredate
BlueprintCategory/&FurnitureTitle	Mobilio
BlueprintCategory/&LightingTitle	Illuminazione
BlueprintCategory/&LootTitle	Bottino
BlueprintCategory/&LoreTitle	Sroia
BlueprintCategory/&NavigationTitle	Navigazione
BlueprintCategory/&ObstacleTitle	Ostacoli
BlueprintCategory/&OpeningsTitle	Aperture
BlueprintCategory/&OrnamentsTitle	Ornamenti
BlueprintCategory/&RestingTitle	Riposo
BlueprintCategory/&StructureTitle	Strutture
BlueprintCategory/&TrapsTitle	Trappole
