Class/&CharacterClassSubTitle	Classe del Personaggio
Class/&CharacterRaceSubTitle	Razza del Personaggio
Class/&ClericDescription	I chierici sono i servi della loro divinità prescelta. In cambio della loro fede e del loro servizio vengono concessi poteri miracolosi, purché si limitino a seguire il credo del loro dio e ad eseguire i rituali della loro religione.
Class/&ClericTitle	Chierico
Class/&FighterDescription	I guerrieri sono addestrati nelle arti del combattimento. Sono abili con la maggior parte delle armi, ma spesso scelgono di specializzarsi. Tutti i guerrieri possono usare armature, scudi e armi a distanza.
Class/&FighterTitle	Guerriero
Class/&PaladinDescription	I paladini sono guerrieri d'élite che hanno giurato sacri giuramenti indistruttibili per combattere il male. Oltre alle loro armi e armature, esercitano poteri divini e incantesimi clericali.
Class/&PaladinTitle	Paladino
Class/&RangerDescription	I vagabondi delle terre selvagge di Solasta, i ranger sono sopravvissuti addestrati, feroci in battaglia e cacciatori furtivi. Eccellenti inseguitori e arcieri, hanno anche alcune capacità di lancio di incantesimi.
Class/&RangerTitle	Ranger
Class/&RogueDescription	I ladri sono versatili prima di tutto. Usano i loro talenti naturali per padroneggiare varie abilità e trovare il proprio modo di prosperare. Generalmente pieni di risorse, sono noti per la loro astuzia e la loro capacità di lanciare letali attacchi furtivi.
Class/&RogueTitle	Ladro
Class/&WizardDescription	I maghi trascorrono la loro vita studiando la magia, imparando incantesimi sempre più potenti e meravigliosi. Nonostante la loro debolezza nel combattimento fisico, le loro abilità magiche li rendono pericolosi nemici.
Class/&WizardTitle	Mago
