BlueprintCategory/&BarrierTitle	Barriers
BlueprintCategory/&EmptyRoomsTitle	Empty Rooms
BlueprintCategory/&EncounterTitle	Encounter
BlueprintCategory/&FurnishedRoomsTitle	Furnished Rooms
BlueprintCategory/&FurnitureTitle	Furniture
BlueprintCategory/&LightingTitle	Lighting
BlueprintCategory/&LootTitle	Loot
BlueprintCategory/&LoreTitle	Lore
BlueprintCategory/&NavigationTitle	Navigation
BlueprintCategory/&ObstacleTitle	Obstacles
BlueprintCategory/&OpeningsTitle	Openings
BlueprintCategory/&OrnamentsTitle	Ornaments
BlueprintCategory/&RestingTitle	Resting
BlueprintCategory/&StructureTitle	Structures
BlueprintCategory/&TrapsTitle	Traps
