Environment/&CatacombsTitle	Catacombs
Environment/&CatacombsDescription	An underground network of tombs & crypts
Environment/&NecropolisTitle	Necropolis
Environment/&NecropolisDescription	An underground domain of the dead
Environment/&SewersTitle	Sewers
Environment/&SewersDescription	A collection of sewer tunnels & drainage
Environment/&StrongholdTitle	Stronghold
Environment/&StrongholdDescription	The interior of a stone castle
Environment/&ElvenPalaceTitle	Elven Palace
Environment/&ElvenPalaceDescription	A luxurious vestige of the realm of Manacalon
Environment/&LavaCavesTitle	Lava Caves
Environment/&LavaCavesDescription	An underground network of caves inhabited by tribal creatures
Environment/&WoodlandTitle	Woodland
Environment/&WoodlandDescription	Navigate through a series of clearings inside a temperate forest
