Gadget/&CampfireTitle	Campfire
Gadget/&CampfireDescription	An interactive campfire used to start a long rest for the party
Gadget/&ChestTitle	Chest
Gadget/&ChestDescription	A container for loot
Gadget/&DoubleDoorTitle	Double Door
Gadget/&DoubleDoorDescription	A simple door to open
Gadget/&EntranceTitle	Entrance
Gadget/&EntranceDescription	The starting point for the party 
Gadget/&ExitTitle	Exit
Gadget/&ExitDescription	An exit point for the party. Can lead to another user location
Gadget/&HiddenDoorTitle	Hidden Door
Gadget/&HiddenDoorDescription	A door which requires a perception check to be spotted
Gadget/&InteractiveTorchTitle	Interactive Torch
Gadget/&InteractiveTorchDescription	A wall torch which can be dynamically lit/unlit
Gadget/&LoreAreaTitle	Lore Area
Gadget/&LoreAreaDescription	Stepping into this area will display a text
Gadget/&MonsterMTitle	Monster M
Gadget/&MonsterMDescription	Generates one medium (or smaller) monster at the gadget position
Gadget/&MonsterLTitle	Monster L
Gadget/&MonsterLDescription	Generates one large monster at the gadget position
Gadget/&MonsterMMultipleTitle	Monster Multi M
Gadget/&MonsterMMultipleDescription	Generates a number of medium (or smaller) monsters at the gadget position
Gadget/&TrapTitle	Trap
Gadget/&TrapDescription	A trap that is activated by stepping on the surface it occupies
Gadget/&VirtualLoreTitle	Virtual Lore
Gadget/&VirtualLoreDescription	An interaction displaying a lore text, which can be placed on any prop
Gadget/&VirtualLootTitle	Virtual Loot
Gadget/&VirtualLootDescription	A generic purpose loot interaction, which can be placed on any prop to simulate a container
Gadget/&ParameterExplicitItemsTitle	Explicit Items
Gadget/&ParameterLootPackTitle	Loot Pack
Gadget/&ParameterItemListTitle	Items List
Gadget/&ParameterParam_LockedTitle	Locked
Gadget/&ParameterUnlock_DCTitle	Unlock DC
Gadget/&ParameterParam_TrappedTitle	Trapped
Gadget/&ParameterPerception_DCTitle	Perception DC
Gadget/&ParameterDisarm_DCTitle	Disarm DC
Gadget/&ParameterReveal_DCTitle	Reveal DC
Gadget/&ParameterTrapEffectTitle	Trap Effect
Gadget/&ParameterEntranceIndexTitle	Entrance Index
Gadget/&ParameterDestinationLocationTitle	Destination Location
Gadget/&ParameterCreatureTitle	Creature
Gadget/&ParameterQuantityTitle	Quantity
Gadget/&ParameterPerceptionDCTitle	Perception DC
Gadget/&ParameterSpeechTitle	Speech
Gadget/&ParameterEncounterGroupTitle	Encounter Group
Gadget/&ParameterGroupIndexTitle	Group Index
Gadget/&ParameterExplicitItemsDescription	Determines whether the content will be a predefined loot pack, or an explicit list of items
Gadget/&ParameterLootPackDescription	A predefined list of items, some of which will be rolled randomly
Gadget/&ParameterItemListDescription	Specify an explicit list of items that will be spawned in the container
Gadget/&ParameterParam_LockedDescription	Determines whether this gadget is locked
Gadget/&ParameterUnlock_DCDescription	The difficulty class to unlock this gadget
Gadget/&ParameterParam_TrappedDescription	Determines whether this gadget is trapped
Gadget/&ParameterPerception_DCDescription	The difficulty class to spot the trap on this gadget
Gadget/&ParameterDisarm_DCDescription	The difficulty class to disarm the trap on this gadget
Gadget/&ParameterReveal_DCDescription	The difficulty class to reveal this gadget
Gadget/&ParameterTrapEffectDescription	The type of effect that impacts the affected creatures when this trap is triggered
Gadget/&ParameterEntranceIndexDescription	A location can be entered from several entry points. This index is used to specify the entrance an exit gadget leads to
Gadget/&ParameterDestinationLocationDescription	Destination Location
Gadget/&ParameterCreatureDescription	The type of spawned creature
Gadget/&ParameterQuantityDescription	The number of creatures
Gadget/&ParameterSpeechDescription	The text that is displayed when interacting with this gadget
Gadget/&ParameterEncounterGroupDescription	Check this to make the spawned creature part of an encounter group, triggering battles together
Gadget/&ParameterGroupIndexDescription	Creatures with an identical group index (any number you chose) will belong to the same encounter group
Gadget/&ParameterSavingThrowDCTitle	Saving Throw DC
Gadget/&ParameterSavingThrowDCDescription	The difficulty class for the saving throw
Gadget/&ParameterAddDiceTitle	Additional Dice
Gadget/&ParameterAddDiceDescription	Increase the number of dice for this effect
Gadget/&FallingChandelierTitle	Falling Chandelier
Gadget/&FallingChandelierDescription	A hanging chandelier which can be damaged and cause fall damage
Gadget/&GrateTitle	Grate
Gadget/&GrateDescription	A metallic fence containing a collapsing metallic door
Gadget/&InvisiblePlateTitle	Invisible Plate
Gadget/&InvisiblePlateDescription	A visible plate which activates other gadgets when stepped on
Gadget/&LorePlaqueTitle	Lore Plaque
Gadget/&LorePlaqueDescription	A mural plaque used to provide lore to the player
Gadget/&ManaLampTitle	Mana Lamp
Gadget/&ManaLampDescription	An interactive lamp which becomes lit when targeted by magical spells
Gadget/&PrisonDoorTitle	Prison Door
Gadget/&PrisonDoorDescription	A metallic door closing/opening the access to a detention area
Gadget/&ActivatorButtonTitle	Button Activator
Gadget/&ActivatorButtonDescription	A button which can be used to activate other gadgets
Gadget/&ActivatorAreaTitle	Area Activator
Gadget/&ActivatorAreaDescription	Entering this area activates other gadgets
Gadget/&ActivatorPlateTitle	Plate Activator
Gadget/&ActivatorPlateDescription	A plate which activates other gadgets when stepped on
Gadget/&ActivatorTimedTitle	Timed Activator
Gadget/&ActivatorTimedDescription	An invisible gadget which activates other gadgets at regular timed intervals
Gadget/&WoodenDoorTitle	Wooden Door
Gadget/&WoodenDoorDescription	A plain door
Gadget/&ManaLampWallTitle	Mana Lamp (wall)
Gadget/&ParameterTargetGadgetsTitle	Target Gadgets
Gadget/&ParameterTargetGadgetsDescription	The gadgets which will be triggered by this gadget's activation / deactivation
Gadget/&ParameterSymetricalTitle	Symetrical
Gadget/&ParameterSymetricalDescription	Can the activator be played back and forth, for example to open / close a door?
Gadget/&ParameterOperationTitle	Operation
Gadget/&ParameterOperationDescription	The type of operation performed on the target gadgets
Gadget/&ParameterOperationActivateTitle	Activate
Gadget/&ParameterOperationActivateDescription	Activate other gadgets (example : open a door)
Gadget/&ParameterOperationDeactivateTitle	Deactivate
Gadget/&ParameterOperationDeactivateDescription	Deactivate other gadgets (example: close a door)
Gadget/&ParameterOperationActivateSymetricalTitle	Activate Symetrical
Gadget/&ParameterOperationActivateSymetricalDescription	Activate & deactivate back and forth (example: open & close a door)
Gadget/&ParameterOperationEnableTitle	Enable
Gadget/&ParameterOperationEnableDescription	Enabled an activator, so that it can activate other gadgets
Gadget/&ParameterOperationDisableTitle	Disable
Gadget/&ParameterOperationDisableDescription	Disables an activator which will no longer activate other gadgets (example: disable a timed activator)
Gadget/&ParameterOperationEnableSymetricalTitle	Enable Symetrical
Gadget/&ParameterOperationEnableSymetricalDescription	Enables & disables back and forth (example: a button could enable & disable a timed activator)
Gadget/&LavaBulbTitle	Lava Bulb
Gadget/&MechanismTitle	Mechanism
Gadget/&TorchPikeTitle	Torch Pike
Gadget/&ParameterParam_HardLockedTitle	Hard Locked
Gadget/&ParameterParam_HardLockedDescription	This gadget cannot be opened by normal means, an remote activator is required to open it
Gadget/&ParameterParam_DefaultAsLitTitle	Lit
Gadget/&ParameterParam_DefaultAsLitDescription	Determines if this gadget is lit by default or unlit if the option is checked off.
Gadget/&ParameterParam_DefaultAsOpenedTitle	Opened
Gadget/&ParameterParam_DefaultAsOpenedDescription	Determines if this gadget is opened by default
Gadget/&MonsterHTitle	Monster H
Gadget/&MonsterHDescription	Generates one huge monster at the gadget position
Gadget/&MonsterGTitle	Monster G
Gadget/&MonsterGDescription	Generates one gargantuan monster at the gadget position
Gadget/&ParameterAutoSpawnTitle	Auto Spawn
Gadget/&ParameterAutoSpawnDescription	When this option is off, spawning the monster requires a remote activator, instead of the proximity of heroes
Gadget/&ParameterLoreFormatTitle	Lore Format
