próximo	siguiente
Cerca	Cerrar
Gravamen	Carga
truco de luz 	hechizo de luz
Dejar	Salir
Utilizar artículo	Usar objeto
Cauteloso	Sigilo
Saquear todos	Coger todo
coloque el mouse	coloque el ratón
Herramientas de ladrones	Herramientas de ladrón
Si intentas abrir o trabar	Si intentas abrir o forzar
Ahorrar	Guardar
Combatiente	Guerrero
Caracteres	Personajes
Creador de mazmorras	Editor de Mazmorras
Revisa el juego	Pon una Reseña
Intimidad	Privacidad
Altruismo	Altruista
Egoísmo	Egoísta
Pragmatismo	Pragmático
Riqueza del partido	Tesoro de grupo
Vida falsa	Vida Prestada
Tú compraste	Vas a comprar
Vendes	Vas a vender
La fiesta pierde	El grupo pierde
Elevar a mismo nivel	Subir de nivel
Correo en cadena	Cota de Malla
Escala de correo	Cota de placas
En eso	INICIATIVA
STR	FUE
DEX	DES
ESTAFA	CONS
EN T	INT
WIS	SAB
CHA	CAR
Moverse	VEL
Profe	COMP
Dados de golpe	D. Golpe
Ascendencia	Raza
combatientes	guerreros
Guardabosques	Cazador
guardabosques	cazadores
linajes	subrazas
linaje	subraza
Resiliencia	Resistencia
Funciones de ascendencia	Atributos de raza
de tiro de salvación	en las tiradas de salvación
Aumento de la puntuación de habilidad	Mejora de característica
Warhammer	Martillo de guerra
Pequeño kit de herramientas Smith	Kit de herramientas de herrero
AC	CA
Bonificación por daños:	Bonificador al daño:
dmg	daño
Proteger	Escudo
Pelea confusa	Cuerpo a cuerpo
Cuchillada	Cortante
rollos	resultado
Cicatrización	Curación
Pecho	Cofre
Solicitar	Aceptar
Luz	Ligero
Estándar	Común
Barra	Bastón
Contiene un líquido reluciente. Cura parte de tu HP perdido cuando estás borracho.	Contiene un líquido rojo brillante. Restablece parte de tus PG perdidos al beberla.
Guarde la fecha	Fecha de guardado
Acrobacia	Acrobacias
Arcanos	Conocimiento arcano
Medicamento	Medicina
Herramientas de Smith	Herramientas de herrero
Engaño	Engañar
Manejo de animales	Trato con animales
Competencia Prima	Bono de competencia
golpear	golpe
Desacoplar	Destrabarse
Hit	Golpe
señorita	Fallo
Si realiza la acción de desconexión, su movimiento no provoca ataques de oportunidad durante el resto del turno.	Al destrabarte evitas que el enemigo obtenga un ataque de oportunidad al salir de su rango de acción. Hacerlo gasta 1 acción.
Perder	Fallo
Pegar	Golpe
Primario	Principal
Número de divinidad del canal	Número de Canalizar divinidad
Bonificación de puntos de vida por nivel	Bonificación de puntos de golpe por nivel
La cantidad máxima de puntos de vida que una criatura puede soportar antes de caer inconsciente o muerta.	La cantidad máxima de puntos de golpe que una criatura puede soportar antes de caer inconsciente o morir.
HP	PG
Cantrip de fondo	Trucos de trasfondo
Dotes de fondo	Dotes de trasfondo
Idiomas de fondo	Idiomas de trasfondo
Habilidades de fondo	Habilidades de trasfondo
Hechizos de fondo	Hechizos de trasfondo
Herramientas de fondo	Herramientas de trasfondo
Trucos de subclase	Trucos de arquetipo
Experiencia de subclase	Competencias de arquetipo
Dotes de subclase	Dotes de arquetipo
Idioma de la subclase	Idioma de la arquetipo
Habilidades de subclase	Habilidades de arquetipo
Hechizos de subclase	Hechizos de arquetipo
Herramientas de subclase	Herramientas de arquetipo
Visión	Perspicacia
Desplazamiento	Pergamino
desplazamiento	pergamino
Tocar	Reanudar
Toma un pequeño descanso.	Tomar un descanso corto.
El partido	El grupo
guardado contra	salvación contra
Deletrear	Verbal
{0} ahora es {1}	{0} ahora esta {1}
