Class/&CharacterClassSubTitle	Clase de personaje
Class/&CharacterRaceSubTitle	Ascendencia del personaje
Class/&ClericDescription	Los clérigos son los sirvientes de su deidad elegida. A cambio de su fe y servicio, se les otorgan poderes milagrosos, siempre que se limiten a seguir el credo de su dios y realizar los rituales de su religión.
Class/&ClericTitle	Clérigo
Class/&FighterDescription	Los luchadores están entrenados en las artes del combate. Son expertos en la mayoría de las armas, pero a menudo optan por especializarse. Todos los luchadores pueden usar armaduras, escudos y armas a distancia.
Class/&FighterTitle	Combatiente
Class/&PaladinDescription	Los paladines son guerreros de élite que han hecho juramentos sagrados inquebrantables para luchar contra el mal. Además de sus armas y armaduras, ejercen poderes divinos y hechizos clericales.
Class/&PaladinTitle	Paladín
Class/&RangerDescription	Vagabundos de la naturaleza salvaje de Solasta, los guardabosques son supervivientes entrenados, feroces en la batalla y cazadores sigilosos. Excelentes rastreadores y arqueros, también tienen alguna habilidad para lanzar hechizos.
Class/&RangerTitle	guardabosque
Class/&RogueDescription	Los pícaros son, ante todo, versátiles. Utilizan sus talentos naturales para dominar diversas habilidades y encontrar su propia manera de prosperar. Generalmente ingeniosos, son conocidos por su astucia y su capacidad para lanzar ataques furtivos mortales.
Class/&RogueTitle	Pícaro
Class/&WizardDescription	Los magos se pasan la vida estudiando magia, aprendiendo hechizos cada vez más poderosos y maravillosos. A pesar de su debilidad en el combate físico, sus habilidades mágicas los convierten en enemigos peligrosos.
Class/&WizardTitle	Mago
