Prop/&CandelabraTitle	Candelabro
Prop/&CandelabraDescription	Un candelabro decorativo
Prop/&ColumnATitle	Columna A
Prop/&ColumnADescription	Una columna decorativa
Prop/&ColumnBTitle	Columna B
Prop/&ColumnBDescription	Una columna decorativa
Prop/&FireBasinTitle	Cuenca de fuego
Prop/&FireBasinDescription	Una palangana en llamas, iluminando su entorno.
Prop/&BenchTitle	Mesa de trabajo
Prop/&BenchDescription	Un banco decorativo
Prop/&GuardrailsATitle	Barandillas
Prop/&GuardrailsADescription	Un muro bajo que se puede utilizar como cubierta pesada.
Prop/&DebrisATitle	Escombros
Prop/&DebrisADescription	Un montón de piedra que impide el movimiento.
Prop/&GuardrailsBrokenATitle	Barandilla rota A
Prop/&GuardrailsBrokenADescription	Una pared baja, corta y rota que se puede utilizar como cubierta pesada.
Prop/&GuardrailsBrokenBTitle	Barandilla B rota
Prop/&GuardrailsBrokenBDescription	Una pared baja, larga y rota que se puede utilizar como cubierta pesada.
Prop/&GuardrailsLinkTitle	Enlace de barandilla
Prop/&GuardrailsLinkDescription	Un pilar de muro bajo
Prop/&GuardrailsStraightATitle	Barandilla recta A
Prop/&GuardrailsStraightADescription	Una pared baja y corta que se puede utilizar como cubierta pesada.
Prop/&GuardrailsStraightBTitle	Barandilla recta B
Prop/&GuardrailsStraightBDescription	Un muro largo y bajo que se puede utilizar como cubierta pesada.
Prop/&MausoleumTitle	Mausoleo
Prop/&MausoleumDescription	Un monumento funerario inaccesible
Prop/&StatueTitle	Estatua
Prop/&StatueDescription	Una estatua decorativa
Prop/&TombATitle	Tumba A
Prop/&TombADescription	Una tumba a la que se puede entrar
Prop/&TombBTitle	Tumba b
Prop/&TombBDescription	Un movimiento de bloqueo de tumba decorativa
Prop/&TombCTitle	Tumba C
Prop/&VaseTitle	Jarrón
Prop/&VaseDescription	Un jarrón funerario decorativo
Prop/&WallBlockerATitle	Bloqueador de pared
Prop/&WallBlockerADescription	Una pared ancha para bloquear un pasaje.
Prop/&WallBlockerBTitle	Bloqueador de pared
Prop/&WallBlockerBDescription	Una pared ancha para bloquear un pasaje.
Prop/&WallChainTitle	Cadena
Prop/&WallChainDescription	Un trozo de metal colgado en la pared.
Prop/&WallCrawl	Pared con agujero de arrastre
Prop/&WallCrawlDescription	Una pared ancha con un agujero por el que gatear
Prop/&WallTorchTitle	Antorcha de pared
Prop/&WallTorchDescription	Una antorcha encendida que se puede colocar en una pared.
