BlueprintCategory/&BarrierTitle	Barriere
BlueprintCategory/&EmptyRoomsTitle	Stanze vuote
BlueprintCategory/&EncounterTitle	Incontrare
BlueprintCategory/&FurnishedRoomsTitle	Camere arredate
BlueprintCategory/&FurnitureTitle	Mobilia
BlueprintCategory/&LightingTitle	Illuminazione
BlueprintCategory/&LootTitle	Bottino
BlueprintCategory/&LoreTitle	Lore
BlueprintCategory/&NavigationTitle	Navigazione
BlueprintCategory/&ObstacleTitle	Ostacoli
BlueprintCategory/&OpeningsTitle	Aperture
BlueprintCategory/&OrnamentsTitle	Ornamenti
BlueprintCategory/&RestingTitle	Riposo
BlueprintCategory/&StructureTitle	Strutture
BlueprintCategory/&TrapsTitle	Trappole
