NPC/&Kaseinax_Magister_Title	Il Magister
NPC/&MasterOfMagic_Title	Maestro di magia
NPC/&Merchant	Mercante
NPC/&NPC_Adam_the_twelfth_Title	Adamo il dodicesimo
NPC/&NPC_AkshaTitle	Aksha
NPC/&NPC_AlenaSwiftTitle	Alena Swift
NPC/&NPC_Angbi_Title	Angbi Kramsson
NPC/&NPC_AnnieBagmordahTitle	Annie Bagmordah
NPC/&NPC_ArwinMertonTitle	Arwin Merton
NPC/&NPC_ArwinMertonUnknownTitle	Ubriaco sconosciuto
NPC/&NPC_AtimaBladeburnTitle	Atima Bladeburn
NPC/&NPC_BanditCrossbowDescription	Questo bandito fa un passo indietro per sparare con una balestra.
NPC/&NPC_BanditCrossbowTitle	Bandit Schermagliatore
NPC/&NPC_BanditDescription	Un combattente malevolo che usa una scimitarra.
NPC/&NPC_BanditDwarfDescription	Basso e robusto, questo bandito brandisce una scimitarra.
NPC/&NPC_BanditDwarfTitle	Bandito nano
NPC/&NPC_BanditHalflingDescription	Breve e agile, questo bandito porta una balestra.
NPC/&NPC_BanditHalflingTitle	Bandito nano
NPC/&NPC_BanditLoanSharkDescription	Strozzino
NPC/&NPC_BanditLoanSharkTitle	Strozzino
NPC/&NPC_BanditQuartermasterTitle	Quartiermastro dei banditi
NPC/&NPC_BanditSwordsmanDescription	Alto e potente, questo bandito brandisce uno spadone.
NPC/&NPC_BanditSwordsmanTitle	Bandito
NPC/&NPC_BanditTitle	Bandito
NPC/&NPC_BericSunblazeTitle	Maresciallo Beric Sunblaze
NPC/&NPC_BerylStonebeardTitle	Beryl Barbapietre
NPC/&NPC_BradfordRavensworthTitle	Bradford Ravensworth
NPC/&NPC_CeiwadSilverflowerTitle	Principessa Ceiwad Silverflower
NPC/&NPC_CitizenTitle	Cittadino
NPC/&NPC_CityGuardTitle	City Guard
NPC/&NPC_CoparannGuardTitle	Coparann ​​Guard
NPC/&NPC_DalonLarkTitle	Il cappellano Dalon Lark
NPC/&NPC_DarikSunbirdTitle	Daliat Sunbird
NPC/&NPC_DekTitle	Dek
NPC/&NPC_EdvanDanantarTitle	Gran maestro Edvan Danantar
NPC/&NPC_Galar_Title	Galar Goldentongue
NPC/&NPC_GorimIronsootTitle	Gorim Ironsoot
NPC/&NPC_Gromnir_Title	Baron Gromnir Stonefist
NPC/&NPC_HalmanGormsdottirTitle	Il cancelliere Hertha Gormsdottir
NPC/&NPC_HalmanSummerTitle	Halman Summer
