PartyBanter/&Cynical1_Trap_Detected_Self	Aspettare! Una trappola!
PartyBanter/&Cynical2_Trap_Detected_Self	Tienilo! Una trappola!
PartyBanter/&Cynical3_Trap_Detected_Self	Vedo una trappola.
PartyBanter/&Cynical1_Secret_door_Detected_Self	Guarda! Una porta segreta!
PartyBanter/&Cynical2_Secret_door_Detected_Self	C'è una porta, qui.
PartyBanter/&Cynical3_Secret_door_Detected_Self	Vedo una porta nascosta.
PartyBanter/&Cynical1_Trap_Trigerred_Self	Come l'ho perso?
PartyBanter/&Cynical2_Trap_Trigerred_Self	Stava solo aspettando me!
PartyBanter/&Cynical3_Trap_Trigerred_Self	Sono più intelligente di così!
PartyBanter/&Cynical1_Trap_Disarmed_Self	Troppo facile!
PartyBanter/&Cynical2_Trap_Disarmed_Self	Avevo solo bisogno di una mano.
PartyBanter/&Cynical3_Trap_Disarmed_Self	Pezzo di torta.
PartyBanter/&Cynical1_Light_up_Self	Sia la luce!
PartyBanter/&Cynical2_Light_up_Self	Va meglio.
PartyBanter/&Cynical3_Light_up_Self	Un po 'di luce non farà male.
PartyBanter/&Cynical1_Break_Stealth_Self	Accidenti!
PartyBanter/&Cynical2_Break_Stealth_Self	È su di me.
PartyBanter/&Cynical3_Break_Stealth_Self	Cosa è andato storto lì?
PartyBanter/&Cynical1_Critical_Hit_Given_Self	Come ci si sente?
PartyBanter/&Cynical2_Critical_Hit_Given_Self	Ben meritato!
PartyBanter/&Cynical3_Critical_Hit_Given_Self	Prendi quello!
PartyBanter/&Cynical1_Normal_Hit_Given_Self	Ti ho preso!
PartyBanter/&Cynical2_Normal_Hit_Given_Self	Ti piace?
PartyBanter/&Cynical3_Normal_Hit_Given_Self	Troppo lento!
PartyBanter/&Cynical4_Normal_Hit_Given_Self	Deve aver fatto male.
PartyBanter/&Cynical5_Normal_Hit_Given_Self	Touché!
PartyBanter/&Cynical1_Missed_Attack_Self	Accidenti!
PartyBanter/&Cynical2_Missed_Attack_Self	Che cosa?
PartyBanter/&Cynical3_Missed_Attack_Self	Ero sicuro…
PartyBanter/&Cynical4_Missed_Attack_Self	Come mi sono perso?
PartyBanter/&Cynical5_Missed_Attack_Self	Sei solo fortunato!
PartyBanter/&Cynical1_Kill_Enemy_Self	E il vincitore è - io!
PartyBanter/&Cynical2_Kill_Enemy_Self	Hai perso!
PartyBanter/&Cynical3_Kill_Enemy_Self	Un'altra vittoria!
PartyBanter/&Cynical4_Kill_Enemy_Self	Non hai mai avuto una possibilità!
PartyBanter/&Cynical5_Kill_Enemy_Self	Un altro morde la polvere!
PartyBanter/&Cynical1_Healed_by_ally_Self	Ti devo un favore!
PartyBanter/&Cynical2_Healed_by_ally_Self	Mi è piaciuto un po '.
PartyBanter/&Cynical3_Healed_by_ally_Self	Grazie, mi sento meglio.
PartyBanter/&Cynical1_Allied_KnockedDown_Self	No!
PartyBanter/&Cynical2_Allied_KnockedDown_Self	Resisti!
PartyBanter/&Cynical3_Allied_KnockedDown_Self	Abbiamo bisogno di te!
PartyBanter/&Cynical1_Trap_Trigerred_Other	Sembra che tu abbia trovato qualcosa.
PartyBanter/&Cynical2_Trap_Trigerred_Other	Veramente? Non l'hai visto?
PartyBanter/&Cynical3_Trap_Trigerred_Other	Solo uno sciocco ... oh, aspetta.
PartyBanter/&Cynical1_Trap_Disarmed_Other	Questo era chiaramente già rotto.
PartyBanter/&Cynical2_Trap_Disarmed_Other	Sono solo fortunato, immagino.
PartyBanter/&Cynical3_Trap_Disarmed_Other	Bene! Dopotutto non sei completamente inutile!
PartyBanter/&Cynical1_Long_Jump_Other	Non sei troppo arrugginito.
PartyBanter/&Cynical2_Long_Jump_Other	Facile per le caviglie!
PartyBanter/&Cynical3_Long_Jump_Other	Nota artistica - non eccezionale.
PartyBanter/&Cynical1_High_Climb_Other	Bel piccolo riscaldamento.
PartyBanter/&Cynical2_High_Climb_Other	Conosco ragazzi che lo farebbero più velocemente.
PartyBanter/&Cynical3_High_Climb_Other	Un vero piccolo folletto.
PartyBanter/&Cynical1_Break_Stealth_Other	Non abbiamo detto "silenzio"?
PartyBanter/&Cynical2_Break_Stealth_Other	Pensavo avessimo detto "prudente".
PartyBanter/&Cynical3_Break_Stealth_Other	Non posso dire di essere sorpreso.
PartyBanter/&Cynical1_Pushing_Heavy_Other	Heave ho!
PartyBanter/&Cynical2_Pushing_Heavy_Other	Dai, spingi!
PartyBanter/&Cynical1_Crawling_Other	Non ti dispiace stare in ginocchio, vero?
PartyBanter/&Cynical2_Crawling_Other	Sembra che tu l'abbia fatto per tutta la vita.
PartyBanter/&Cynical1_Critical_Hit_Received_Other	Tienilo!
PartyBanter/&Cynical2_Critical_Hit_Received_Other	Resta con noi!
PartyBanter/&Cynical1_Normal_Hit_Received_Other	Stai bene?
PartyBanter/&Cynical2_Normal_Hit_Received_Other	Hai visto di peggio!
PartyBanter/&Cynical1_Critical_Hit_Given_Other	Questo è il modo!
PartyBanter/&Cynical2_Critical_Hit_Given_Other	Bello!
PartyBanter/&Cynical3_Critical_Hit_Given_Other	Degno di nota!
PartyBanter/&Cynical1_Normal_Hit_Given_Other	Bella mossa!
PartyBanter/&Cynical2_Normal_Hit_Given_Other	Ancora!
PartyBanter/&Cynical3_Normal_Hit_Given_Other	Buona!
PartyBanter/&Cynical1_Missed_Attack_Other	Dai, puoi fare di meglio!
PartyBanter/&Cynical2_Missed_Attack_Other	Riprova!
PartyBanter/&Cynical3_Missed_Attack_Other	Un'altra signorina?
PartyBanter/&Cynical1_Kill_Enemy_Other	Hey! Quello era mio!
PartyBanter/&Cynical2_Kill_Enemy_Other	Quello non ha nemmeno reagito.
PartyBanter/&Cynical3_Kill_Enemy_Other	Non male.
PartyBanter/&Serious1_Trap_Detected_Self	Dannazione! Una trappola!
PartyBanter/&Serious2_Trap_Detected_Self	Fermare! Una trappola!
PartyBanter/&Serious3_Trap_Detected_Self	C'è una trappola!
PartyBanter/&Serious1_Secret_door_Detected_Self	Ehi, una porta segreta!
PartyBanter/&Serious2_Secret_door_Detected_Self	Ho trovato una porta, qui!
PartyBanter/&Serious3_Secret_door_Detected_Self	Abbiamo una porta nascosta!
PartyBanter/&Serious1_Trap_Trigerred_Self	Una schifezza!
PartyBanter/&Serious2_Trap_Trigerred_Self	Accidenti!
PartyBanter/&Serious3_Trap_Trigerred_Self	Li odio!
PartyBanter/&Serious1_Trap_Disarmed_Self	Facile.
PartyBanter/&Serious2_Trap_Disarmed_Self	Pezzo di spazzatura.
PartyBanter/&Serious3_Trap_Disarmed_Self	Fatto e fatto.
PartyBanter/&Serious1_Light_up_Self	Ne avevo bisogno.
PartyBanter/&Serious2_Light_up_Self	Finalmente leggera.
PartyBanter/&Serious3_Light_up_Self	Luce, amico mio.
PartyBanter/&Serious1_Break_Stealth_Self	Dannazione!
PartyBanter/&Serious2_Break_Stealth_Self	No!
PartyBanter/&Serious3_Break_Stealth_Self	Goffo idiota!
PartyBanter/&Serious1_Critical_Hit_Given_Self	Sanguinare!
PartyBanter/&Serious2_Critical_Hit_Given_Self	Morire!
PartyBanter/&Serious3_Critical_Hit_Given_Self	Ti piace quello?
PartyBanter/&Serious1_Normal_Hit_Given_Self	Prendi quello!
PartyBanter/&Serious2_Normal_Hit_Given_Self	Aspetta il prossimo!
PartyBanter/&Serious3_Normal_Hit_Given_Self	Altro in arrivo.
PartyBanter/&Serious4_Normal_Hit_Given_Self	Morirai come gli altri!
PartyBanter/&Serious5_Normal_Hit_Given_Self	Nessun trimestre!
PartyBanter/&Serious1_Missed_Attack_Self	Dannazione!
PartyBanter/&Serious2_Missed_Attack_Self	No!
PartyBanter/&Serious3_Missed_Attack_Self	Dai!
PartyBanter/&Serious4_Missed_Attack_Self	Non mi mancherà la prossima volta!
