Prop/&CandelabraTitle	Candelabri
Prop/&CandelabraDescription	Un candelabro decorativo
Prop/&ColumnATitle	Colonna A
Prop/&ColumnADescription	Una colonna decorativa
Prop/&ColumnBTitle	Colonna B
Prop/&ColumnBDescription	Una colonna decorativa
Prop/&FireBasinTitle	Bacino del fuoco
Prop/&FireBasinDescription	Un bacino ardente, che illumina l'ambiente circostante
Prop/&BenchTitle	Panchina
Prop/&BenchDescription	Una panca decorativa
Prop/&GuardrailsATitle	Guardrails
Prop/&GuardrailsADescription	Un muretto che può essere utilizzato come copertura pesante
Prop/&DebrisATitle	Detriti
Prop/&DebrisADescription	Un mucchio di pietre che impedisce il movimento
Prop/&GuardrailsBrokenATitle	Guardrail rotto A
Prop/&GuardrailsBrokenADescription	Un muretto corto, rotto e basso che può essere usato come copertura pesante
Prop/&GuardrailsBrokenBTitle	Guardrail rotto B
Prop/&GuardrailsBrokenBDescription	Un muro lungo, rotto e basso che può essere usato come copertura pesante
Prop/&GuardrailsLinkTitle	Guardrail Link
Prop/&GuardrailsLinkDescription	Un pilastro del muro basso
Prop/&GuardrailsStraightATitle	Guardrail dritto A
Prop/&GuardrailsStraightADescription	Una parete bassa e bassa che può essere utilizzata come copertura pesante
Prop/&GuardrailsStraightBTitle	Guardrail dritto B
Prop/&GuardrailsStraightBDescription	Un muro lungo e basso che può essere utilizzato come copertura pesante
Prop/&MausoleumTitle	Mausoleo
Prop/&MausoleumDescription	Un monumento funerario inaccessibile
Prop/&StatueTitle	Statua
Prop/&StatueDescription	Una statua decorativa
Prop/&TombATitle	Tomba A
Prop/&TombADescription	Una tomba in cui si può entrare
Prop/&TombBTitle	Tomba B
Prop/&TombBDescription	Un movimento decorativo per bloccare le tombe
Prop/&TombCTitle	Tomba C
Prop/&VaseTitle	Vaso
Prop/&VaseDescription	Un vaso funebre decorativo
Prop/&WallBlockerATitle	Wall Blocker
Prop/&WallBlockerADescription	Un ampio muro per bloccare un passaggio
Prop/&WallBlockerBTitle	Wall Blocker
Prop/&WallBlockerBDescription	Un ampio muro per bloccare un passaggio
Prop/&WallChainTitle	Catena
Prop/&WallChainDescription	Un pezzo di metallo era appeso al muro
Prop/&WallCrawl	Muro con buco di scansione
Prop/&WallCrawlDescription	Un ampio muro con un buco attraverso cui strisciare
Prop/&WallTorchTitle	Torcia da muro
Prop/&WallTorchDescription	Una torcia sempre accesa che può essere posizionata su una parete
