Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&AbilityCheckFormat	{0} d20 {1}
Rules/&AbilityCheckVersusDcFormat	{0} d20 {1} vs DC {2}
Rules/&AbilityScoreBonusFormat	+ bonus di abilità
Rules/&ActivationTypeActionTitle	Azione
Rules/&ActivationTypeBonusActionTitle	Atto bonus.
Rules/&ActivationTypeHours1Title	1 ora
Rules/&ActivationTypeHours24Title	24 ore
Rules/&ActivationTypeMinute10Title	10 minuti
Rules/&ActivationTypeMinute1Title	1 minuto
Rules/&ActivationTypeNoCostTitle	Atto libero.
Rules/&ActivationTypeOnAttackHitTitle	Al colpo
Rules/&ActivationTypeOnAttackHitWithBowTitle	Al colpo (arco)
Rules/&ActivationTypePermanentUnlessIncapacitatedTitle	Permanente
Rules/&ActivationTypeReactionTitle	Reazione
Rules/&ActivationTypeRestDescription	Questo potere può essere attivato durante un riposo
Rules/&ActivationTypeRestTitle	riposo
Rules/&AlignmentDescription	Una tipica creatura nel mondo di gioco ha un allineamento che descrive ampiamente i suoi atteggiamenti morali e personali. L'allineamento è una combinazione di due fattori: uno identifica la moralità (buona, cattiva o neutra) e l'altro descrive gli atteggiamenti verso la società e l'ordine (legale, caotico o neutro).
Rules/&AlignmentTitle	Allineamento
Rules/&AlterationFormExtinguishFireFormat	Spegne gli incendi
Rules/&AlterationFormExtinguishLightFormat	Spegne le luci
Rules/&AlterationFormRemoveDarknessFormat	Rimuove l'oscurità
Rules/&AlterationFormRevealTrapFormat	Rivela le trappole
Rules/&AlterationFormUnlockFormat	Sblocca un oggetto target
Rules/&ChallengeDifficultyDeadlyTitle	Mortale
Rules/&ChallengeDifficultyEasyTitle	Facile
Rules/&ChallengeDifficultyHardTitle	Difficile
Rules/&ChallengeDifficultyMediumTitle	medio
Rules/&ConditionAcidifiedDescription	Subire danni da acido ogni turno fino al termine dell'effetto.
Rules/&ConditionAcidifiedTitle	Acidificato
Rules/&ConditionAidedDescription	Punti ferita (massimi / attuali) aumentati di 5 + avanzamento.
Rules/&ConditionAidedTitle	Assistita
Rules/&ConditionAntitoxin	Vantaggio sui tiri salvezza su Costituzione contro il veleno.
Rules/&ConditionAsleepDescription	Incapace di agire fino al risveglio
Rules/&ConditionAsleepTitle	Addormentato
Rules/&ConditionAuraOfCourageDescription	Immunità dall'essere spaventati.
Rules/&ConditionAuraOfCourageTitle	Aura di coraggio
Rules/&ConditionAuraOfProtectionDescription	Bonus di {0} ai tiri salvezza.
Rules/&ConditionAuraOfProtectionTitle	Aura di protezione
Rules/&ConditionBackFromTheDead1Description	-1 penalità ai tiri per colpire, ai tiri salvezza e alle prove di abilità. Completa un lungo riposo per ridurre la penalità.
Rules/&ConditionBackFromTheDead2Description	-2 penalità ai tiri per colpire, ai tiri salvezza e alle prove di abilità. Completa un lungo riposo per ridurre la penalità.
Rules/&ConditionBackFromTheDead3Description	-3 penalità ai tiri per colpire, ai tiri salvezza e alle prove di abilità. Completa un lungo riposo per ridurre la penalità.
Rules/&ConditionBackFromTheDead4Description	-4 penalità ai tiri per colpire, ai tiri salvezza e alle prove di abilità. Completa un lungo riposo per ridurre la penalità.
Rules/&ConditionBackFromTheDeadTitle	Di ritorno dalla morte
Rules/&ConditionBanedDescription	-1d4 agli attacchi, -1d4 ai tiri salvezza.
Rules/&ConditionBanedTitle	Banestruck
Rules/&ConditionBarkskinDescription	La Classe Armatura della creatura diventa almeno 16.
Rules/&ConditionBarkskinTitle	Barkskin
Rules/&ConditionBeaconOfHopeDescription	Vantaggio su Saggezza e tiri salvezza contro la morte; la guarigione ripristina il massimo dei punti ferita possibili.
Rules/&ConditionBeaconOfHopeTitle	Faro di speranza
Rules/&ConditionBearsEnduranceDescription	Vantaggio sui tiri salvezza su Costituzione.
Rules/&ConditionBlessedDescription	+ 1d4 agli attacchi, + 1d4 ai tiri salvezza.
Rules/&ConditionBlessedTitle	Benedetto
Rules/&ConditionBlessingSorr-TarrTitle	Benedizione di Sorr-Tarr
Rules/&ConditionBlindedDescription	Non riesco a vedere niente; svantaggio sugli attacchi; gli attacchi contro la creatura hanno vantaggio.
Rules/&ConditionBlindedTitle	Accecato
