PartyBanter/&Cynical1_Trap_Detected_Self	Esperar! Uma armadilha!
PartyBanter/&Cynical2_Trap_Detected_Self	Espere! Uma armadilha!
PartyBanter/&Cynical3_Trap_Detected_Self	Eu vejo uma armadilha.
PartyBanter/&Cynical1_Secret_door_Detected_Self	Veja! Uma porta secreta!
PartyBanter/&Cynical2_Secret_door_Detected_Self	Há uma porta aqui.
PartyBanter/&Cynical3_Secret_door_Detected_Self	Eu vejo uma porta escondida.
PartyBanter/&Cynical1_Trap_Trigerred_Self	Como eu perdi isso?
PartyBanter/&Cynical2_Trap_Trigerred_Self	Ele estava apenas esperando por mim!
PartyBanter/&Cynical3_Trap_Trigerred_Self	Eu sou mais esperto do que isso!
PartyBanter/&Cynical1_Trap_Disarmed_Self	Muito fácil!
PartyBanter/&Cynical2_Trap_Disarmed_Self	Eu só precisava de uma mão.
PartyBanter/&Cynical3_Trap_Disarmed_Self	Pedaco de bolo.
PartyBanter/&Cynical1_Light_up_Self	Que haja luz!
PartyBanter/&Cynical2_Light_up_Self	Isso é melhor.
PartyBanter/&Cynical3_Light_up_Self	Um pouco de luz não vai doer.
PartyBanter/&Cynical1_Break_Stealth_Self	Caramba!
PartyBanter/&Cynical2_Break_Stealth_Self	Isso é por minha conta.
PartyBanter/&Cynical3_Break_Stealth_Self	O que deu errado aí?
PartyBanter/&Cynical1_Critical_Hit_Given_Self	Como você se sente?
PartyBanter/&Cynical2_Critical_Hit_Given_Self	Bem merecido!
PartyBanter/&Cynical3_Critical_Hit_Given_Self	Pegue isso!
PartyBanter/&Cynical1_Normal_Hit_Given_Self	Entendi!
PartyBanter/&Cynical2_Normal_Hit_Given_Self	Você gosta disso?
PartyBanter/&Cynical3_Normal_Hit_Given_Self	Muito devagar!
PartyBanter/&Cynical4_Normal_Hit_Given_Self	Isso deve ter doído.
PartyBanter/&Cynical5_Normal_Hit_Given_Self	Touché!
PartyBanter/&Cynical1_Missed_Attack_Self	Caramba!
PartyBanter/&Cynical2_Missed_Attack_Self	O que?
PartyBanter/&Cynical3_Missed_Attack_Self	Eu tinha certeza…
PartyBanter/&Cynical4_Missed_Attack_Self	Como eu perdi?
PartyBanter/&Cynical5_Missed_Attack_Self	Você tem sorte!
PartyBanter/&Cynical1_Kill_Enemy_Self	E o vencedor sou - eu!
PartyBanter/&Cynical2_Kill_Enemy_Self	Você perdeu!
PartyBanter/&Cynical3_Kill_Enemy_Self	Outra vitória!
PartyBanter/&Cynical4_Kill_Enemy_Self	Você nunca teve uma chance!
PartyBanter/&Cynical5_Kill_Enemy_Self	Outro morde a poeira!
PartyBanter/&Cynical1_Healed_by_ally_Self	Eu devo-te uma!
PartyBanter/&Cynical2_Healed_by_ally_Self	Eu meio que gostei disso.
PartyBanter/&Cynical3_Healed_by_ally_Self	Obrigado, me sinto melhor.
PartyBanter/&Cynical1_Allied_KnockedDown_Self	Não!
PartyBanter/&Cynical2_Allied_KnockedDown_Self	Aguentar!
PartyBanter/&Cynical3_Allied_KnockedDown_Self	Nós precisamos de você!
PartyBanter/&Cynical1_Trap_Trigerred_Other	Parece que você encontrou algo.
