Prop/&CandelabraTitle	Candelabro
Prop/&CandelabraDescription	Um candelabro decorativo
Prop/&ColumnATitle	Coluna A
Prop/&ColumnADescription	Uma coluna decorativa
Prop/&ColumnBTitle	Coluna B
Prop/&ColumnBDescription	Uma coluna decorativa
Prop/&FireBasinTitle	Fire Basin
Prop/&FireBasinDescription	Uma bacia em chamas, iluminando seus arredores
Prop/&BenchTitle	Banco
Prop/&BenchDescription	Um banco decorativo
Prop/&GuardrailsATitle	Guardrails
Prop/&GuardrailsADescription	Uma parede baixa que pode ser usada como uma cobertura pesada
Prop/&DebrisATitle	Destroços
Prop/&DebrisADescription	Um monte de pedra impedindo o movimento
Prop/&GuardrailsBrokenATitle	Guarda-corpo A Quebrado
Prop/&GuardrailsBrokenADescription	Uma parede baixa curta e quebrada que pode ser usada como cobertura pesada
Prop/&GuardrailsBrokenBTitle	Guarda-corpo B quebrado
Prop/&GuardrailsBrokenBDescription	Uma parede longa, quebrada e baixa que pode ser usada como cobertura pesada
Prop/&GuardrailsLinkTitle	Guardrail Link
Prop/&GuardrailsLinkDescription	Um pilar de parede baixa
Prop/&GuardrailsStraightATitle	Guarda-corpo A reto
Prop/&GuardrailsStraightADescription	Uma parede curta e baixa que pode ser usada como cobertura pesada
Prop/&GuardrailsStraightBTitle	Guarda-corpo reto B
Prop/&GuardrailsStraightBDescription	Uma parede longa e baixa que pode ser usada como cobertura pesada
Prop/&MausoleumTitle	Mausoléu
Prop/&MausoleumDescription	Um monumento funerário inacessível
Prop/&StatueTitle	Estátua
Prop/&StatueDescription	Uma estátua decorativa
Prop/&TombATitle	Tumba A
Prop/&TombADescription	Uma tumba que pode ser acessada
Prop/&TombBTitle	Tumba B
Prop/&TombBDescription	Um movimento de bloqueio de tumba decorativa
Prop/&TombCTitle	Tumba C
Prop/&VaseTitle	Vaso
Prop/&VaseDescription	Um vaso funerário decorativo
Prop/&WallBlockerATitle	Bloqueador de parede
Prop/&WallBlockerADescription	Uma parede larga para bloquear uma passagem
Prop/&WallBlockerBTitle	Bloqueador de parede
Prop/&WallBlockerBDescription	Uma parede larga para bloquear uma passagem
Prop/&WallChainTitle	Cadeia
Prop/&WallChainDescription	Um pedaço de metal pendurado na parede
Prop/&WallCrawl	Parede com orifício de rastejamento
Prop/&WallCrawlDescription	Uma parede larga com um buraco para rastejar
Prop/&WallTorchTitle	Tocha de parede
Prop/&WallTorchDescription	Uma tocha sempre acesa que pode ser colocada na parede
