FightingStyle/&ArcheryDescription	Obtienes un bonificador +2 a las tiradas de ataque con armas a distancia.
FightingStyle/&ArcheryTitle	Tiro al arco
FightingStyle/&DefenseDescription	Mientras llevas armadura, obtienes un bonificador +1 a la CA.
FightingStyle/&DefenseTitle	Defensa
FightingStyle/&DuelingDescription	Cuando empuñas un arma cuerpo a cuerpo en una mano y ninguna otra arma, obtienes un bonificador +2 a las tiradas de daño con esa arma.
FightingStyle/&DuelingTitle	Duelo
FightingStyle/&GreatWeaponDescription	Cuando sacas un 1 o 2 en un dado de daño por un ataque que realizas con un arma cuerpo a cuerpo que estás empuñando con las dos manos, puedes volver a tirar el dado. Debes usar la nueva tirada, incluso si es un 1 o un 2. El arma debe tener la propiedad versátil o de dos manos para que puedas obtener este beneficio.
FightingStyle/&GreatWeaponTitle	Gran lucha con armas
FightingStyle/&ProtectionDescription	Cuando una criatura que puedes ver ataca a un objetivo distinto a ti que está a 5 pies de ti, puedes usar tu reacción para imponer desventaja en la tirada de ataque. Debes estar empuñando un escudo.
FightingStyle/&ProtectionTitle	Proteccion
FightingStyle/&TwoWeaponDescription	Cuando participa en una lucha con dos armas, puede agregar su modificador de habilidad al daño del segundo ataque.
FightingStyle/&TwoWeaponTitle	Lucha con dos armas
