Modal/&AssertionFailedTtitle	Error de aserción
Modal/&CampaignSelectionButtonTitle	Seleccione
Modal/&CampaignSelectionTitle	Campaña
Modal/&CampCaptionMultipleHoursFormat	El grupo va a acampar durante {0} horas.
Modal/&CampCaptionSingleHourFormat	El grupo va a acampar durante una hora.
Modal/&CancelButtonTitle	Cancelar
Modal/&CancelPrepareDescription	Cancele cualquier cambio realizado en este panel.
Modal/&CancelPrepareTitle	Cancelar
Modal/&CharacterReviveMessageCancel	Cancelar
Modal/&CharacterReviveMessageContent	Esta opción tiene un tiempo de activación prolongado y puede invalidar otras opciones basadas en el tiempo. ¿Quieres continuar?
Modal/&CharacterReviveMessageTitle	Advertencia
Modal/&CharacterReviveMessageValidate	Aceptar
Modal/&CharacterReviveModalHeaderPluralTitle	Revivir a todos los personajes muertos
Modal/&CharacterReviveModalHeaderSingularTitle	Revivir personaje muerto
Modal/&CharacterReviveModalSubTitle	No puedes continuar la aventura con uno o más personajes muertos. Seleccione una opción.
Modal/&CharacterReviveModalTooLateFormat	Es demasiado tarde para utilizar esta opción en {0}.
Modal/&DefeatDescription	El grupo no tenía forma de revivir a sus miembros muertos: ¡se acabó el juego! Intente dar pergaminos de Revivir a los personajes que puedan usarlos.
Modal/&DefeatTitle	Juego terminado
Modal/&DeleteButtonTitle	Borrar
Modal/&EquipementSelectionDescription	Seleccione sus opciones de equipo preferidas.
Modal/&EquipementSelectionTitle	Elección de equipo
Modal/&ErrorModalContinuePlayingTitle	Continuar jugando
Modal/&ErrorModalCopyToClipboardTitle	Copiar al portapapeles
Modal/&ErrorModalIgnoreErrorTitle	Ignorar este error
Modal/&ErrorModalQuitTitle	Salir del juego
Modal/&ErrorModalTitle	Ha ocurrido un error grave.
Modal/&ExceptionModalTitle	Se ha producido una excepción crítica.
Modal/&FactionRedeemCostDescription	Canjear un artículo suele ser más rentable que venderlo a un comerciante.
Modal/&FactionRedeemInstructionsDescription	Canjear artículos con la facción "{0}" te hará ganar dinero y mejorará tus relaciones con esta facción.
Modal/&FactionRedeemRelationDescription	Tus relaciones con esa facción mejoran
Modal/&FactionRedeemRelationGainFormat	{0} Relación
Modal/&FactionRedeemSelectTitle	Seleccione un artículo para canjear
Modal/&HigherLevelFeaturesTitle	Funciones de nivel superior
Modal/&InterruptCraftingCompleteTitle	Interrumpe cuando se ha elaborado un objeto.
Modal/&InterruptLevelUpAvailableTitle	Interrumpe cuando un personaje puede subir de nivel.
Modal/&InterruptLongRestCompleteTitle	Interrumpa cuando se haya completado el descanso prolongado.
Modal/&LoadButtonTitle	Carga
Modal/&LoadGameHeader	Carga
Modal/&LoadGamePlaceholder	Selecciona una partida guardada.
Modal/&LoadingProceedButtonTitle	Haga clic o presione cualquier tecla para comenzar.
Modal/&LoadingTitle	Cargando por favor espere
Modal/&LoadLastSaveDescription	Reanuda el juego desde tu última partida guardada
Modal/&LoadLastSaveTitle	Reiniciar desde el último guardado
Modal/&MonsterListingCaption	{0} se está concentrando para determinar la presencia de monstruos en el área ...
Modal/&MonsterListingFavoredEnemyTitle	Enemigo favorecido
Modal/&MonsterListingNotPerceivedTitle	Ninguno
Modal/&MonsterListingPerceivedTitle	Regalo
Modal/&NumberSelectionInstructionTitle	¿Cuantos puntos?
Modal/&NumberSelectionValidateTitle	Validar
Modal/&PartyWaitMinutesPluralFormat	El grupo espera {0} minutos.
Modal/&PartyWaitMinutesSingleFormat	El grupo está esperando {0} minuto.
Modal/&RequiredRestsMultipleFormat	{0} descansos largos
Modal/&RequiredRestsNoneFormat	Ninguno
Modal/&RequiredRestsSingleFormat	1 descanso largo
Modal/&RequiredRestsTitle	Descansos requeridos
Modal/&ResetDefaultsDescription	Haga clic para restablecer la configuración de viaje al valor predeterminado.
Modal/&ResetDefaultsTitle	Restablecer predeterminados
Modal/&SaveButtonTitle	Guardar
Modal/&SaveGameHeader	Guardar
Modal/&SaveGamePlaceholder	Ingresa un nombre de archivo o selecciona una partida guardada.
Modal/&SelectCharacterMultipleTitle	Seleccione uno o más personajes.
Modal/&SelectCharacterSingleTitle	Seleccione un personaje
Modal/&SelectTitle	Seleccione
Modal/&StartTravelDescription	Inicia el viaje a la ubicación seleccionada.
Modal/&StartTravelTitle	Viajar
Modal/&TravelDurationLessThanADayFormat	Menos de un día
Modal/&TravelDurationMultipleFormat	{0} días
Modal/&TravelDurationSingleFormat	1 día
Modal/&TravelDurationTitle	Duración
Modal/&TravelFromTitle	De
Modal/&TravelPaceNormalTitle	Normal
Modal/&TravelPaceTitle	Ritmo de viaje
Modal/&TravelSettingsButtonDescriptionTitle	Haga clic para cambiar la configuración de viajar y descansar.
Modal/&TravelSettingsCustomTitle	Personalizado
Modal/&TravelSettingsDefaultTitle	Defecto
Modal/&TravelSettingsTitle	Configuración de viaje
Modal/&TravelToTitle	A
Modal/&ValidateButtonTitle	Confirmar
Modal/&LoadingShortTitle	Cargando
Modal/&LoadingTipTitle	Consejo
Modal/&UnitsSelectionInstructionTitle	¿Cuántas unidades toma?
Modal/&CastSpellBeforeLongRestTitle	Lanza el hechizo {0} cuando comience el descanso prolongado.
Modal/&ScavengerMissionsModalTitle	Expediciones de carroñeros
Modal/&ScavengerMissionsModalDescription	Los carroñeros se dirigen a estos lugares para recolectar y traer de vuelta el botín dejado.
Modal/&ScavengerMissionLineEncounterTitle	En algún lugar del camino
Modal/&ScavengerMissionLineNewMissionFormat	Nuevo: {0} restantes
