PartyBanter/&Cynical1_Trap_Detected_Self	¡Espera! ¡Una trampa!
PartyBanter/&Cynical2_Trap_Detected_Self	¡Alto! ¡Una trampa!
PartyBanter/&Cynical3_Trap_Detected_Self	Veo una trampa.
PartyBanter/&Cynical1_Secret_door_Detected_Self	¡Mira! ¡Una puerta secreta!
PartyBanter/&Cynical2_Secret_door_Detected_Self	Hay una puerta, aquí.
PartyBanter/&Cynical3_Secret_door_Detected_Self	Veo una puerta secreta.
PartyBanter/&Cynical1_Trap_Trigerred_Self	¿Cómo se me ha escapado eso?
PartyBanter/&Cynical2_Trap_Trigerred_Self	¡Me estaba esperando!
PartyBanter/&Cynical3_Trap_Trigerred_Self	¡Soy más inteligente que eso!
PartyBanter/&Cynical1_Trap_Disarmed_Self	¡Demasiado fácil!
PartyBanter/&Cynical2_Trap_Disarmed_Self	Sólo necesitaba una mano.
PartyBanter/&Cynical3_Trap_Disarmed_Self	Pan comido.
PartyBanter/&Cynical1_Light_up_Self	¡Que se haga la luz!
PartyBanter/&Cynical2_Light_up_Self	Así está mejor.
PartyBanter/&Cynical3_Light_up_Self	Un poco de luz no hará daño.
PartyBanter/&Cynical1_Break_Stealth_Self	¡Maldita sea!
PartyBanter/&Cynical2_Break_Stealth_Self	Eso es cosa mía.
PartyBanter/&Cynical3_Break_Stealth_Self	¿Qué ha fallado ahí?
PartyBanter/&Cynical1_Critical_Hit_Given_Self	¿Cómo se siente eso?
PartyBanter/&Cynical2_Critical_Hit_Given_Self	¡Bien merecido!
PartyBanter/&Cynical3_Critical_Hit_Given_Self	¡Toma eso!
PartyBanter/&Cynical1_Normal_Hit_Given_Self	¡Te tengo!
PartyBanter/&Cynical2_Normal_Hit_Given_Self	¿Te gusta?
PartyBanter/&Cynical3_Normal_Hit_Given_Self	¡Demasiado lento!
PartyBanter/&Cynical4_Normal_Hit_Given_Self	Eso debe haber dolido.
PartyBanter/&Cynical5_Normal_Hit_Given_Self	¡Touché!
PartyBanter/&Cynical1_Missed_Attack_Self	¡Maldita sea!
PartyBanter/&Cynical2_Missed_Attack_Self	¿Qué?
PartyBanter/&Cynical3_Missed_Attack_Self	Estaba seguro/a...
PartyBanter/&Cynical4_Missed_Attack_Self	¿Cómo he fallado?
PartyBanter/&Cynical5_Missed_Attack_Self	¡Tienes suerte!
PartyBanter/&Cynical1_Kill_Enemy_Self	¡Y el ganador soy yo!
PartyBanter/&Cynical2_Kill_Enemy_Self	¡Pierdes!
PartyBanter/&Cynical3_Kill_Enemy_Self	¡Otra victoria!
PartyBanter/&Cynical4_Kill_Enemy_Self	¡Nunca tuviste oportunidad!
PartyBanter/&Cynical5_Kill_Enemy_Self	¡Otro que muerde el polvo!
PartyBanter/&Cynical1_Healed_by_ally_Self	¡Te debo una!
PartyBanter/&Cynical2_Healed_by_ally_Self	Eso me ha gustado.
PartyBanter/&Cynical3_Healed_by_ally_Self	Gracias, me siento mejor.
PartyBanter/&Cynical1_Allied_KnockedDown_Self	¡No!
PartyBanter/&Cynical2_Allied_KnockedDown_Self	¡Aguanta!
PartyBanter/&Cynical3_Allied_KnockedDown_Self	¡Te necesitamos!
PartyBanter/&Cynical1_Trap_Trigerred_Other	Parece que has encontrado algo.
PartyBanter/&Cynical2_Trap_Trigerred_Other	¿En serio? ¿No has visto eso?
PartyBanter/&Cynical3_Trap_Trigerred_Other	Sólo un tonto podría... oh, espera.
PartyBanter/&Cynical1_Trap_Disarmed_Other	Esto ya estaba claramente roto.
PartyBanter/&Cynical2_Trap_Disarmed_Other	Sólo suerte, supongo.
PartyBanter/&Cynical3_Trap_Disarmed_Other	¡Bueno! No eres totalmente inútil después de todo.
PartyBanter/&Cynical1_Long_Jump_Other	No estás demasiado oxidado.
PartyBanter/&Cynical2_Long_Jump_Other	¡Cuidado con los tobillos!
PartyBanter/&Cynical3_Long_Jump_Other	Nota artística - no es genial.
PartyBanter/&Cynical1_High_Climb_Other	Buen calentamiento.
PartyBanter/&Cynical2_High_Climb_Other	Sé de niños que harían eso más rápido.
PartyBanter/&Cynical3_High_Climb_Other	Un verdadero goblincito
PartyBanter/&Cynical1_Break_Stealth_Other	¿No hemos dicho "silencioso"?
PartyBanter/&Cynical2_Break_Stealth_Other	Creí que habíamos dicho "cauteloso".
PartyBanter/&Cynical3_Break_Stealth_Other	No puedo decir que me sorprenda.
PartyBanter/&Cynical1_Pushing_Heavy_Other	¡Hay que ver!
PartyBanter/&Cynical2_Pushing_Heavy_Other	¡Vamos, empuja!
PartyBanter/&Cynical1_Crawling_Other	No te importa estar de rodillas, ¿verdad?
PartyBanter/&Cynical2_Crawling_Other	Parece que llevas toda la vida haciendo eso.
PartyBanter/&Cynical1_Critical_Hit_Received_Other	¡Aguanta!
