Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&AbilityCheckFormat	{0} d20 {1}
Rules/&AbilityCheckVersusDcFormat	{0} d20 {1} frente a DC {2}
Rules/&AbilityScoreBonusFormat	 + Bono de habilidad
Rules/&ActivationTypeActionTitle	1 Acción
Rules/&ActivationTypeBonusActionTitle	A. adicional
Rules/&ActivationTypeHours1Title	1 hora
Rules/&ActivationTypeHours24Title	24 horas
Rules/&ActivationTypeMinute10Title	10 minutos
Rules/&ActivationTypeMinute1Title	1 minuto
Rules/&ActivationTypeNoCostTitle	Acción gratuita
Rules/&ActivationTypeOnAttackHitTitle	Al golper
Rules/&ActivationTypeOnAttackHitWithBowTitle	Al golpe (arco)
Rules/&ActivationTypePermanentUnlessIncapacitatedTitle	Permanente
Rules/&ActivationTypeReactionTitle	Reacción
Rules/&ActivationTypeRestDescription	Este poder se puede activar durante un descanso.
Rules/&ActivationTypeRestTitle	Descansar
Rules/&AlignmentDescription	Una criatura en el mundo del juego tiene una alineación, que describe ampliamente sus actitudes morales y personales. La alineación es una combinación de dos factores: uno identifica la moralidad (buena, maligna o neutral) y el otro describe las actitudes hacia la sociedad y el orden (legal, caótica o neutral).
Rules/&AlignmentTitle	Alineación
Rules/&AlterationFormExtinguishFireFormat	Apaga incendios
Rules/&AlterationFormExtinguishLightFormat	Apaga las luces
Rules/&AlterationFormRemoveDarknessFormat	Elimina la oscuridad
Rules/&AlterationFormRevealTrapFormat	Revela trampas
Rules/&AlterationFormUnlockFormat	Desbloquea un objeto objetivo
Rules/&ChallengeDifficultyDeadlyTitle	Mortal
Rules/&ChallengeDifficultyEasyTitle	Fácil
Rules/&ChallengeDifficultyHardTitle	Difícil
Rules/&ChallengeDifficultyMediumTitle	Medio
Rules/&ConditionAcidifiedDescription	Recibiendo daño por ácido cada turno hasta que el efecto termine.
Rules/&ConditionAcidifiedTitle	Acidificado
Rules/&ConditionAidedDescription	Los puntos de golpe (máximo / actual) aumentaron en 5 + avance.
Rules/&ConditionAidedTitle	Ayudado
Rules/&ConditionAntitoxin	Ventaja de las tiradas de salvación de Constitución contra veneno.
Rules/&ConditionAsleepDescription	Incapaz de actuar hasta despertar
Rules/&ConditionAsleepTitle	Dormido
Rules/&ConditionAuraOfCourageDescription	Inmunidad al miedo.
Rules/&ConditionAuraOfCourageTitle	Aura de coraje
Rules/&ConditionAuraOfProtectionDescription	{0} bonificación a los tiros de salvación.
Rules/&ConditionAuraOfProtectionTitle	Aura de protección
Rules/&ConditionBackFromTheDead1Description	-1 de penalización en tiradas de ataque, tiros de salvación y pruebas de habilidad. Completa un descanso prolongado para reducir la penalización.
Rules/&ConditionBackFromTheDead2Description	-2 de penalización en tiradas de ataque, tiros de salvación y pruebas de habilidad. Completa un descanso prolongado para reducir la penalización.
Rules/&ConditionBackFromTheDead3Description	-3 de penalización en tiradas de ataque, tiros de salvación y pruebas de habilidad. Completa un descanso prolongado para reducir la penalización.
Rules/&ConditionBackFromTheDead4Description	-4 de penalización en tiradas de ataque, tiros de salvación y pruebas de habilidad. Completa un descanso prolongado para reducir la penalización.
Rules/&ConditionBackFromTheDeadTitle	De entre los muertos
Rules/&ConditionBanedDescription	-1d4 a los ataques\n-1d4 a las tiradas de salvación.
Rules/&ConditionBanedTitle	Castigo  
Rules/&ConditionBarkskinDescription	La CA de la criatura objetivo se convierte en 16 como mínimo.
Rules/&ConditionBarkskinTitle	Piel de corteza
Rules/&ConditionBeaconOfHopeDescription	Ventaja en las tiradas de salvación de Sabiduría y muerte / La curación restaura el máximo de puntos de golpe posibles.
Rules/&ConditionBeaconOfHopeTitle	Faro de esperanza
Rules/&ConditionBearsEnduranceDescription	Ventaja en las tiradas de salvación de Constitución.
Rules/&ConditionBlessedDescription	+1d4 a los ataques\n+1d4 a las tiradas de salvación.
Rules/&ConditionBlessedTitle	Bendito
Rules/&ConditionBlessingSorr-TarrTitle	Bendición de Sorr-Tarr
Rules/&ConditionBlindedDescription	Desventaja al atacar y ventaja al ser atacado.
Rules/&ConditionBlindedTitle	Cegado
Rules/&ConditionBlurredDescription	Los ataques a la criatura tienen desventaja.
Rules/&ConditionBlurredTitle	Borroso
Rules/&ConditionBrandedDescription	Emite luz por lo que no puede esconderse.
Rules/&ConditionBrandedTitle	Luminoso
Rules/&ConditionBullsStrengthDescription	Ventaja en las tiradas de salvación de Fuerza.
Rules/&ConditionCatsGraceDescription	Ventaja en las tiradas de salvación de Destreza y reducción del daño por caída.
Rules/&ConditionCharmedByHypnoticPatternDescription	Incapacitado y la velocidad es 0 hasta que reciba daño o se despierte.
Rules/&ConditionCharmedByHypnoticPatternTitle	Hipnotizado
Rules/&ConditionCharmedDescription	Considera al lanzador del hechizo un aliado.
Rules/&ConditionCharmedTitle	Encantado
Rules/&ConditionChilledDescription	No se pueden ganar puntos de golpe. Si no está muerto, obtiene desventaja al atacar al taumaturgo.
Rules/&ConditionChilledTitle	Congelado
Rules/&ConditionCriticalCharacterDescription	Si este personaje muere el juego termina.
Rules/&ConditionCriticalCharacterTitle	Personaje crítico
Rules/&ConditionCursedActionDescription	Debe hacer una tirada de salvación de Sabiduría para actuar.
Rules/&ConditionCursedActionTitle	Maldito (Acción)
Rules/&ConditionCursedAttackRollDescription	Desventaja en la tirada de ataque contra el lanzador.
Rules/&ConditionCursedAttackRollTitle	Maldito (Tirada de ataque)
Rules/&ConditionCursedCharismaDescription	Desventaja de las tiradas de salvación de CAR y pruebas de habilidad.
Rules/&ConditionCursedCharismaTitle	Maldito (Carisma)
Rules/&ConditionCursedConstitutionDescription	Desventaja en las tiradas de salvación de CON y pruebas de habilidad.
Rules/&ConditionCursedConstitutionTitle	Maldito (Constitución)
Rules/&ConditionCursedDamageDescription	Los ataques y hechizos del lanzador contra el objetivo infligen 1d8 de daño necrótico adicional.
Rules/&ConditionCursedDamageTitle	Maldito (Daño)
Rules/&ConditionCursedDexterityDescription	Desventaja en las tiradas de salvación de DES y pruebas de habilidad.
Rules/&ConditionCursedDexterityTitle	Maldito (Destreza)
Rules/&ConditionCursedIntelligenceDescription	Desventaja en las tiradas de salvación de INT y pruebas de habilidad.
Rules/&ConditionCursedIntelligenceTitle	Maldito (Inteligencia)
Rules/&ConditionCursedStrengthDescription	Desventaja en las tiradas de salvación de FUE y pruebas de habilidad.
Rules/&ConditionCursedStrengthTitle	Maldito (Fuerza)
Rules/&ConditionCursedTitle	Maldito
