Spell/&AcidArrowDescription	Lanza un flecha ácida.
Spell/&AcidArrowTitle	Flecha ácida
Spell/&AcidSplashDescription	Lanza una burbuja de ácido.
Spell/&AcidSplashTitle	Salpicadura ácida
Spell/&AidDescription	Aumenta temporalmente los puntos de golpe de hasta tres aliados.
Spell/&AidTitle	Ayuda
Spell/&AnimateDeadDescription	Crea un sirviente no muerto.
Spell/&AnimateDeadTitle	Animar a los muertos
Spell/&BaneDescription	Reduce el ataque y las tiradas de salvación de los enemigos.
Spell/&BaneTitle	Perdición
Spell/&BarkskinDescription	Tu o un aliado al que puedas tocar obtiene una CA de al menos 16.
Spell/&BarkskinTitle	Piel de corteza
Spell/&BeaconOfHopeDescription	Aumenta la esperanza y la vitalidad.
Spell/&BeaconOfHopeTitle	Faro de esperanza
Spell/&BestowCurseAbilityCharismaTitle	Otorgar maldición (carisma)
Spell/&BestowCurseAbilityConstitutionTitle	Otorgar maldición (Constitución)
Spell/&BestowCurseAbilityDexterityTitle	Otorgar maldición (destreza)
Spell/&BestowCurseAbilityIntelligenceTitle	Otorgar maldición (inteligencia)
Spell/&BestowCurseAbilityStrengthTitle	Otorgar maldición (fuerza)
Spell/&BestowCurseAbilityWisdomTitle	Otorgar maldición (sabiduría)
Spell/&BestowCurseDescription	Maldice a una criatura que puedes tocar.
Spell/&BestowCurseOnActionTurnTitle	Otorgar maldición (acción)
Spell/&BestowCurseOnAttackRollTitle	Otorgar maldición (ataque)
Spell/&BestowCurseOnDamageAddNecroticTitle	Otorgar maldición (daño)
Spell/&BestowCurseTitle	Otorgar maldición
Spell/&BlessDescription	Aumenta las tiradas de salvación y las tiradas de ataque de tus aliados.
Spell/&BlessTitle	Bendecir
Spell/&BlindnessDescription	Ciega a un enemigo durante un minuto.
Spell/&BlindnessTitle	Ceguera
Spell/&BlurDescription	Hace que parezcas borroso y seas más difícil de golpear durante 1 minuto.
Spell/&BlurTitle	Imagen borrosa
Spell/&BrandingSmiteDescription	Su próximo golpe causa daño radiante adicional y el objetivo se vuelve luminoso.
Spell/&BrandingSmiteTitle	Branding Smite
Spell/&BurningHandsDescription	Rocía un cono de fuego frente a ti.
Spell/&BurningHandsTitle	Manos ardientes
Spell/&CharmPersonDescription	Hace que un enemigo se vuelva tu aliado.
Spell/&CharmPersonTitle	Encantar persona
Spell/&ChillTouchDescription	Inflige daño a un enemigo y evita que recupere puntos de golpe.
Spell/&ChillTouchTitle	Toque helado
Spell/&ColorSprayTitle	Rociada de color
Spell/&ConjureGoblinoidsDescription	Invoca 2 goblins que obedecen tus órdenes a menos que pierdas la concentración.
Spell/&ConjureGoblinoidsTitle	Invocar goblins
Spell/&CounterspellDescription	Interrumpe el lanzamiento de hechizos de un enemigo.
Spell/&CounterspellTitle	Contrahechizo
Spell/&CreateFoodDescription	Crea 15 unidades de comida mágica.
Spell/&CreateFoodTitle	Crear comida
Spell/&CureWoundsDescription	Toca a un aliado para que recupere puntos de golpe.
Spell/&CureWoundsTitle	Curar heridas
Spell/&DancingLightsDescription	Crea luces las cuales podrás mover a tu antojo.
Spell/&DancingLightsTitle	Luces danzantes
Spell/&DarknessDescription	Crea un área de oscuridad mágica.
Spell/&DarknessTitle	Oscuridad
Spell/&DarkvisionDescription	Otorga visión en la oscuridad al objetivo.
Spell/&DarkvisionTitle	Visión en la oscuridad
Spell/&DaylightDescription	Invoca un globo de luz brillante.
Spell/&DaylightTitle	Luz
Spell/&DazzleDescription	Disminuye la CA de un objetivo y evita la reacción hasta el comienzo de su siguiente turno.
Spell/&DazzleTitle	Deslumbrar
Spell/&DetectEvilAndGoodDescription	Detectas la presencia de criaturas del bien y del mal y conoces su posición exacta. 
Spell/&DetectEvilAndGoodTitle	Detectar el bien y el mal
Spell/&DetectMagicDescription	Detectas criaturas u objetos mágicos cercanos.
Spell/&DetectMagicTitle	Detectar magia
Spell/&DispelMagicDescription	Anula los hechizos activos sobre una criatura u objeto.
Spell/&DispelMagicTitle	Disipar magia
Spell/&DivineFavorDescription	Obtienes daño del tipo radiante adicional.
Spell/&DivineFavorTitle	Favor divino
Spell/&EnhanceAbilityBearsEnduranceDescription	Gana puntos de golpe temporales y ventaja en las pruebas de Constitución.
Spell/&EnhanceAbilityBearsEnduranceTitle	Resistencia del oso
Spell/&EnhanceAbilityBullsStrengthDescription	Mayor capacidad de carga y ventaja en pruebas de Fuerza.
Spell/&EnhanceAbilityBullsStrengthTitle	Fuerza de toro
Spell/&EnhanceAbilityCatsGraceDescription	Reduce el daño por caída y ventaja en las pruebas de Destreza.
Spell/&EnhanceAbilityCatsGraceTitle	Gracia del gato
Spell/&EnhanceAbilityDescription	Otorga poderes y habilidades temporales a un aliado durante 1 hora como máximo.
Spell/&EnhanceAbilityEaglesSplendorDescription	Ventaja en pruebas de Carisma.
Spell/&EnhanceAbilityEaglesSplendorTitle	Esplendor del águila
Spell/&EnhanceAbilityFoxsCunningDescription	Ventaja en las pruebas de Inteligencia.
Spell/&EnhanceAbilityFoxsCunningTitle	Astucia de zorro
Spell/&EnhanceAbilityOwlsWisdomDescription	Ventaja en las pruebas de Sabiduría.
Spell/&EnhanceAbilityOwlsWisdomTitle	Sabiduría del búho
Spell/&EnhanceAbilityTitle	Mejorar habilidades
Spell/&ExpeditiousRetreatDescription	Obtienes puntos de movimiento y sea capaz de lanzarse como acción adicional.
Spell/&ExpeditiousRetreatTitle	Retirada expeditiva
Spell/&FaerieFireDescription	Resalta a las criaturas para dar ventaja a cualquiera que las ataque.
Spell/&FaerieFireTitle	Fuego feérico
Spell/&FalseLifeDescription	Gana puntos de golpe temporales.
Spell/&FalseLifeTitle	Falsa vida
Spell/&FearDescription	Asusta a las criaturas y las obligas a huir.
Spell/&FearTitle	Miedo
Spell/&FeatherFallDescription	Proporciona un aterrizaje seguro cuando tu o algún aliado caiga desde cierta altura.
Spell/&FeatherFallTitle	Caída de pluma
Spell/&FindTrapsDescription	Detecta trampas mecánicas y mágicas pero no peligros naturales.
Spell/&FindTrapsTitle	Encontrar trampas
Spell/&FireballDescription	Lanza una bola de fuego que explota en el punto que elijas.
Spell/&FireballTitle	Bola de fuego
Spell/&FireBoltDescription	Lanza un rayo de fuego.
Spell/&FireBoltTitle	Descarga de fuego
Spell/&FlamingSphereDescription	Invoca una esfera ardiente móvil.
Spell/&FlamingSphereTitle	Esfera llameante
Spell/&FlyDescription	Un aliado que toques gana la habilidad de volar.
Spell/&FlyTitle	Volar
Spell/&FogCloudDescription	Genera una esfera de niebla espesa por un tiempo limitado. Las criaturas que se encuentren dentro no pueden atacar a las del exterior.
Spell/&FogCloudTitle	Nube de niebla
Spell/&GlyphOfWardingDescription	Crea una trampa mágica fija.
Spell/&GlyphOfWardingTitle	Glifo de protección
Spell/&GuidanceDescription	Aumenta las pruebas de habilidad de un aliado.
Spell/&GuidanceTitle	Guia
Spell/&GuidingBoltDescription	Lanza un ataque radiante contra un enemigo y haz que sea más fácil de golpear.
Spell/&GuidingBoltTitle	Saeta guía
Spell/&HasteDescription	Vuelve a un aliado más rápido y ágil, y concédele una acción adicional.
Spell/&HasteTitle	Prisa
Spell/&HealingWordDescription	Cura a un aliado que puedas ver.
Spell/&HealingWordTitle	Palabra curativa
Spell/&HeroismDescription	Un aliado gana puntos de golpe temporales y no puede asustarse.
Spell/&HeroismTitle	Heroísmo
Spell/&HideousLaughterDescription	Deja a un enemigo indefenso con una risa irresistible.
Spell/&HideousLaughterTitle	Risa horrible
Spell/&HoldPersonDescription	Paraliza a un humanoide que puedas ver.
Spell/&HoldPersonTitle	Detener persona
Spell/&HuntersMarkDescription	Un enemigo recibe daño adicional de ti y puedes detectarlo fácilmente.
Spell/&HuntersMarkTitle	Marca del cazador
Spell/&HypnoticPatternDescription	Encanta a los enemigos para hacerlos inofensivos hasta que sean atacados.
Spell/&HypnoticPatternTitle	Hipnósis
Spell/&IdentifyDescription	Identifica las propiedades ocultas de un objeto.
Spell/&IdentifyTitle	Identificar
Spell/&InflictWoundsDescription	Inflige daño necrótico al enemigo que golpees.
Spell/&InflictWoundsTitle	Infligir heridas
Spell/&InvisibilityDescription	Haz que un aliado sea invisible.
Spell/&InvisibilityTitle	Invisibilidad
Spell/&JumpDescription	Aumenta la distancia de salto de un aliado.
Spell/&JumpTitle	Saltar
Spell/&KnockDescription	Abre mágicamente puertas cerradas, cofres y cosas por el estilo.
Spell/&KnockTitle	Abrir
Spell/&LesserRestorationDescription	Eliminar una condición perjudicial de un aliado.
Spell/&LesserRestorationTitle	Restauración menor
Spell/&LevitateTitle	Levitar
Spell/&LightDescription	Un objeto que puedas tocar emitirá una luz potente.
Spell/&LightningBoltDescription	Lanza un rayo en la dirección que elijas que dañará a todos los que toque.
Spell/&LightningBoltTitle	Rayo
Spell/&LightTitle	Luz
Spell/&LongstriderDescription	Aumenta la velocidad de un aliado en 2 casillas por turno.
Spell/&LongstriderTitle	Zancada
Spell/&MageArmorDescription	Proporciona armadura mágica a un aliado que no lleve armadura.
Spell/&MageArmorTitle	Armadura de mago
Spell/&MagicCircleDescription	Crea un círculo mágico que protege contra ataques de celestiales, elementales, feéricos, demonios y no muertos, y restringe su movimiento.
Spell/&MagicCircleProtectOuterDescription	Celestiales, elementales, feéricos, demonios y no-muertos atacarán a las criaturas dentro del círculo con desventaja y no pueden entrar al círculo.
Spell/&MagicCircleProtectOuterTitle	Círculo mágico protector
Spell/&MagicCircleRestrictInnerDescription	Los celestiales, elementales, hadas, demonios y no muertos atacan a las criaturas fuera del círculo con desventaja y no pueden abandonar el círculo.
Spell/&MagicCircleRestrictInnerTitle	Círculo mágico restrictivo
Spell/&MagicCircleTitle	Circulo mágico
Spell/&MagicMissileDescription	Golpea a uno o más enemigos con proyectiles que no pueden fallar.
Spell/&MagicMissileTitle	Misil mágico
Spell/&MagicWeaponDescription	Un arma no mágica se convierte en un arma +1 por hasta una hora.
Spell/&MagicWeaponTitle	Arma mágica
Spell/&MassHealingWordDescription	Cura instantáneamente hasta seis aliados que puedes ver.
Spell/&MassHealingWordTitle	Palabra sanadora masiva
Spell/&MistyStepDescription	Te teletransporta a una casilla libre que puedas ver. Máximo a 6 casillas de distancia.
Spell/&MistyStepTitle	Paso brumoso
Spell/&PassWithoutTraceDescription	Haz que tú y hasta 5 aliados sean más sigilosos durante una hora.
Spell/&PassWithoutTraceTitle	Pasar sin rastro
Spell/&PoisonSprayDescription	Rocía de veneno a un enemigo que puedas ver dentro del alcance.
Spell/&PoisonSprayTitle	Rociada venenosa
Spell/&PrayerOfHealingDescription	Cura a varios aliados al mismo tiempo.
Spell/&PrayerOfHealingTitle	Oración sanadora
