Credits/&GameTechnicalVisionTitle	Gioco e visione tecnica
Credits/&ArtTeamTitle	Art Team
Credits/&ArtDirectorTitle	Direttore artistico
Credits/&Lead3DArtistTitle	Capo artista 3D
Credits/&LeadAnimatorTitle	Animatore capo
Credits/&3DCharacterArtistFemaleTitle	Artista del personaggio 3D
Credits/&3DEnvironmentArtistTitle	Artista dell'ambiente 3D
Credits/&VisualEffectsArtistFemaleTitle	Artista degli effetti visivi
Credits/&ConceptArtistTitle	Concept Artist
Credits/&DesignTeamTitle	Team di design
Credits/&GameplayDirectorTitle	Direttore del gioco
Credits/&SeniorLevelDesignerTitle	Designer di livello senior
Credits/&SeniorTechLevelDesignerTitle	Progettista di livello tecnico senior
Credits/&LevelDesignerTitle	Level Designer
Credits/&LevelBuilderTitle	Level Builder
Credits/&CutsceneDirectionTitle	Cutscene Artist
Credits/&NarrationTeamTitle	Team di narrazione
Credits/&UniverseStorylineTitle	Universo e trama
Credits/&NarrationDirection	Direzione della narrazione
Credits/&ProductionTeamTitle	Squadra di produzione
Credits/&ProducerFemaleTitle	Produttore
Credits/&QALeadFemaleTitle	Responsabile QA
Credits/&AutotestTitle	Auto test
Credits/&TechnicalTeamTitle	Team tecnico
Credits/&TechLeadTitle	Capo ingegnere
Credits/&GraphicsProgrammerTitle	Ingegnere di rendering
Credits/&UIRuleserProgrammerTitle	Ingegnere interfaccia utente / set di regole
Credits/&ToolsProgrammerTitle	Strumenti e ingegnere di gioco
Credits/&MarktingTeamTitle	Team di marketing
Credits/&MarketingDirectorTitle	Direttore marketing
Credits/&LeadCommunityDeveloperTitle	Lead Community Developer
Credits/&AdministrationTeamTitle	Amministrazione
Credits/&AdministrativeAndFinancialManagerFemaleTitle	Responsabile amministrativo e finanziario
Credits/&BoardMemberTitle	Membro di bordo
Credits/&ExternalPartnersTitle	Partner esterni
Credits/&ExternalPartnersConceptTitle	Concept Artist aggiuntivo
Credits/&EnvironmentConceptArtistTitle	Artista di concetto di ambiente e arte chiave
