Feat/&AcuteSensesDescription	VUOTO
Feat/&AcuteSensesTitle	VUOTO
Feat/&AlertDescription	Addestrato per mantenere un'elevata consapevolezza in tutte le situazioni, ottieni i seguenti vantaggi:
Feat/&AlertTitle	Vigile
Feat/&ArmorMasterDescription	Sei un esperto nell'uso dell'armatura in battaglia. Ottieni +1 CA aggiuntivo da qualsiasi armatura che indossi.
Feat/&ArmorMasterTitle	Maestro di armature
Feat/&Creed_Of_ArunTitle	Credo di Arun
Feat/&Creed_Of_EinarTitle	Credo di Einar
Feat/&Creed_Of_MaraikeTitle	Credo di Maraike
Feat/&Creed_Of_MisayeTitle	Credo di Misaye
Feat/&Creed_Of_PakriTitle	Credo di Pakri
Feat/&Creed_Of_SolastaTitle	Credo di Solasta
Feat/&EnduringBodyDescription	Aumenta la tua Costituzione di 1 (massimo 20) ei tuoi punti ferita aumentano di un ulteriore +1 ogni volta che sali di livello.
Feat/&EnduringBodyTitle	Corpo duraturo
Feat/&FlawlessConcentrationDescription	Sei addestrato a mantenere la concentrazione nelle condizioni più estreme.\nSe subisci fino a 10 danni, non è necessario effettuare un tiro salvezza su Costituzione per mantenere la concentrazione.\nAl di sopra di questo valore, hai vantaggio quando effettui il tiro salvezza.
Feat/&FlawlessConcentrationTitle	Concentrazione impeccabile
Feat/&FocusedSleeperDescription	Sei abituato a riposarti molto anche solo con un po 'di sonno. Aumenta la tua Costituzione di 1 (massimo 20) e hai solo bisogno di quattro ore di sonno per notte.
Feat/&FocusedSleeperTitle	Dormiente focalizzato
Feat/&HardToKillTitle	Duro a morire
Feat/&HaulerTitle	Autotrasportatore
Feat/&LockbreakerDescription	Hai passato molto tempo a studiare le serrature: come crearle e come prenderle. Acquisisci competenza con gli strumenti dei ladri o raddoppia la tua competenza esistente se sei già competente. Hai un vantaggio quando usi gli strumenti dei ladri per scassinare le serrature.
Feat/&LockbreakerTitle	Lock Breaker
Feat/&LocksmithDescription	Non dovrebbe essere visualizzato
Feat/&LocksmithTitle	Non dovrebbe essere visualizzato
Feat/&ManipulatorTitle	Manipolatore
Feat/&MasterAlchemistDescription	Hai imparato l'arte della creazione di pozioni. Hai bisogno della metà del tempo normale per creare una pozione e il tuo bonus di competenza viene raddoppiato quando effettui il tiro per determinare se la tua creazione progredisce.\nHai una conoscenza approfondita di tutte le pozioni e puoi identificarle automaticamente.
Feat/&MasterAlchemistTitle	Maestro Alchimista
Feat/&MasterEnchanterDescription	Hai imparato l'arte di incantare gli oggetti. Trascorri metà del tempo normale per incantare un oggetto e il tuo bonus di competenza viene raddoppiato quando esegui il tiro per determinare se la tua creazione progredisce
Feat/&MasterEnchanterTitle	Maestro Incantatore
Feat/&MightOfTheIronLegionDescription	+1 STR fino a un massimo di 20\nOttieni competenza con l'armatura pesante.\nAcquisisci competenza con Longsword, Greatsword e Battleaxes.
Feat/&MightOfTheIronLegionTitle	Potenza della Legione di Ferro
Feat/&RobustDescription	Robusto e resistente, aumenti il ​​tuo punteggio di Costituzione di 1 (massimo 20) e quando usi un dado per riguadagnare punti ferita, tira due volte e prendi il valore più alto.
Feat/&RobustTitle	Robusto
Feat/&SylvanArcherDescription	VUOTO
Feat/&SylvanArcherTitle	VUOTO
Feat/&Creed_Of_EinarDescription	+1 STR fino a un massimo di 20\nLa competenza in STR consente di risparmiare se non è già competente; +1 altrimenti
Feat/&Creed_Of_MaraikeDescription	+1 WIS fino a un massimo di 20\nLa competenza in WIS consente di risparmiare se non è già competente; +1 altrimenti
Feat/&Creed_Of_MisayeDescription	+1 DEX fino a un massimo di 20\nLa competenza in DEX consente di risparmiare se non è già competente; +1 altrimenti
Feat/&Creed_Of_PakriDescription	+1 INT fino a un massimo di 20\nLa competenza in INT consente di risparmiare se non è già abile; +1 altrimenti
Feat/&Creed_Of_SolastaDescription	+1 CHA fino a un massimo di 20\nLa competenza in CHA consente di risparmiare se non è già competente; +1 altrimenti
Feat/&PowerfulCantripTitle	Potente cantrip
Feat/&PowerfulCantripDescription	Quando una creatura supera un tiro salvezza contro il tuo trucchetto o schiva il tuo trucchetto, la creatura subisce metà del danno ma non subisce alcun effetto aggiuntivo dal trucchetto.
Feat/&UncannyAccuracyDescription	+1 DEX fino a un massimo di 20\nIgnori metà e tre quarti della copertura con i tuoi attacchi a distanza.
Feat/&UncannyAccuracyTitle	Precisione prodigiosa
Feat/&HardToKillDescription	+1 CON fino a un massimo di 20\nHai vantaggio sui tiri salvezza da morte. Se riesci tre volte, non solo sei stabilizzato, ma recuperi immediatamente un dado colpito. Con un tiro critico, recuperi invece due dadi vita.
Feat/&HaulerDescription	Sei addestrato a trasportare carichi pesanti. Aumenta la tua forza di 1 (massimo 20) e la tua capacità di carico è raddoppiata.
Feat/&ManipulatorDescription	Acquisisci competenza in intimidazione, persuasione e inganno. Se eri già esperto, acquisisci esperienza invece nell'abilità corrispondente.
Feat/&EagerForBattleDescription	+1 DEX fino a un massimo di 20\nHai vantaggio sui tuoi tiri di iniziativa.
Feat/&EagerForBattleTitle	Desideroso di battaglia
Feat/&SturdinessOfTheTundraDescription	+1 CON fino a un massimo di 20\nOttieni competenza con l'armatura media.\nAcquisisci competenza con i Martelli da guerra e le balestre leggere e pesanti.
Feat/&SturdinessOfTheTundraTitle	Robustezza della tundra
Feat/&DiscretionOfTheCoedymwarthDescription	+1 DEX fino a un massimo di 20\nOttieni competenza con l'armatura leggera.\nAcquisisci competenza con Spade corte, Archi corti e Archi lunghi.
Feat/&DiscretionOfTheCoedymwarthTitle	Discrezione del Coedymwarth
Feat/&AmbidextrousDescription	+1 a DEX fino a un massimo di 20\nPuoi combattere usando due armi, anche se le armi da mischia a una mano non sono leggere.
Feat/&AmbidextrousTitle	Ambidestro
Feat/&RaiseShieldDescription	Quando stai per essere colpito da un attacco a distanza mentre impugna uno scudo, puoi usare la tua reazione per ottenere +3 CA fino alla fine del turno dell'attaccante. Ottieni anche competenza con gli scudi.
Feat/&RaiseShieldTitle	Alza lo scudo
Feat/&TwinBladeDescription	Quando stai per essere colpito da un attacco in mischia mentre impugna una doppia impugnatura (non spada + scudo), puoi usare la tua reazione per ottenere +3 CA fino alla fine del turno dell'attaccante.
Feat/&TwinBladeTitle	Doppia lama
Feat/&TakeAimDescription	Puoi usare la tua azione bonus per prendere la mira. Fino alla fine del tuo turno, i tuoi attacchi con armi a distanza non hanno svantaggi o vantaggi, indipendentemente dalle condizioni.
Feat/&TakeAimTitle	Prendere la mira
Feat/&RushToBattleDescription	Puoi usare la tua azione bonus per aumentare la velocità di movimento di 3 celle fino alla fine del tuo turno e ottenere -2 alla CA, fino all'inizio del tuo prossimo turno.
Feat/&RushToBattleTitle	Corri in battaglia
Feat/&FollowUpStrikeDescription	Quando usi l'azione Attacco con un'arma a due mani, puoi usare un'azione bonus per eseguire un attacco veloce in mischia a seguire, infliggendo 1d4 + FOR danni aggiuntivi dello stesso tipo.
Feat/&FollowUpStrikeTitle	Follow Up Strike
Feat/&Creed_Of_ArunDescription	+1 a DEX fino a un massimo di 20\nPuoi combattere usando due armi, anche se le armi da mischia a una mano non sono leggere.
