MonsterAttacks/&Attack_Bite_Title	Mordere
MonsterAttacks/&Attack_Claws_Title	Artigli
MonsterAttacks/&Attack_DreadfulGlare_Title	Abbagliamento spaventoso
MonsterAttacks/&Attack_GhoulishClaw_Title	Artiglio Spettrale
MonsterAttacks/&Attack_PoisonousBite_Title	Morso velenoso
MonsterAttacks/&Attack_RottingFist_Title	Pugno in putrefazione
MonsterAttacks/&Attack_Shrieker_Description	Una lama maledetta, forgiata dagli antichi fabbri del Sorr-Akkath nelle fucine di Tirmar e benedetta da Sorr-Tarr.
MonsterAttacks/&Attack_Shrieker_Title	Nekkesh Blade
MonsterAttacks/&Attack_Spine_Title	Colonna vertebrale velenosa
MonsterAttacks/&Attack_Spit_Title	Sputare
MonsterAttacks/&Attack_Talons_Title	Artigli
MonsterAttacks/&Attack_Web_Title	Veleno Web
MonsterAttacks/&Attack_Slam_Title	Sbattere
MonsterAttacks/&Attack_Ghost_Blade_Title	Lama appassita
MonsterAttacks/&Attack_Ghost_Touch_Title	Tocco appassito
MonsterAttacks/&Attack_Beak_Title	Becco
MonsterAttacks/&Attack_SkeletalMarksman_Bow	Freccia necrotica
MonsterAttacks/&Attack_SkeletalMarksman_Sword	Spadone arrugginito
MonsterAttacks/&Attack_Fire_Touch	Tocco ardente
MonsterAttacks/&Attack_Grimblade	Lama di ghiaccio
MonsterAttacks/&Attack_Grimblade_IceDagger	Pugnale di ghiaccio
MonsterAttacks/&Attack_AcidSpit	Sputo acido
MonsterAttacks/&Attack_AcidBite	Morso acido
MonsterAttacks/&Attack_Freeze_Title	Congelare
MonsterAttacks/&Attack_Fire_Title	Toccare
MonsterAttacks/&Attack_ShockingAntenna_Title	Antenna scioccante
MonsterAttacks/&Attack_ShockingAntenna_Description	Gli zeloti possono trasmettere una potente scarica elettrica con le loro antenne.
MonsterAttacks/&Attack_PheromoneSpray_Title	Spray ai feromoni
MonsterAttacks/&Attack_PheromoneSpray_Description	I pellegrini possono spruzzare un bersaglio con un feromone che brucia la pelle e rende frenetici i suoi alleati.
MonsterAttacks/&Attack_Tail_Title	Coda
MonsterAttacks/&AttackNecroticBite_Title	Morso necrotico
