Spell/&AcidArrowDescription	Lancia una freccia acida.
Spell/&AcidArrowTitle	Freccia acida
Spell/&AcidSplashDescription	Lancia un proiettile acido.
Spell/&AcidSplashTitle	Fiotto Acido
Spell/&AidDescription	Aumenta temporaneamente i punti ferita per un massimo di tre alleati.
Spell/&AidTitle	Aiuto
Spell/&AnimateDeadDescription	Crea un servitore non morto.
Spell/&AnimateDeadTitle	Animare Morti
Spell/&BaneDescription	Riduci l'attacco e i tiri salvezza dei tuoi nemici per un tempo limitato.
Spell/&BaneTitle	Anatema
Spell/&BarkskinDescription	Dà a te o a un alleato che puoi toccare una CA di almeno 16.
Spell/&BarkskinTitle	Pelle Coriacea
Spell/&BeaconOfHopeDescription	Aumenta la speranza e la vitalità.
Spell/&BeaconOfHopeTitle	Faro di speranza
Spell/&BestowCurseAbilityCharismaTitle	Conferisci Maledizione (Carisma)
Spell/&BestowCurseAbilityConstitutionTitle	Conferisci Maledizione (Costituzione)
Spell/&BestowCurseAbilityDexterityTitle	Conferisci Maledizione (Destrezza)
Spell/&BestowCurseAbilityIntelligenceTitle	Conferisci Maledizione (Intelligenza)
Spell/&BestowCurseAbilityStrengthTitle	Conferisci Maledizione (Forza)
Spell/&BestowCurseAbilityWisdomTitle	Conferisci Maledizione (Saggezza)
Spell/&BestowCurseDescription	Maledice una creatura che puoi toccare.
Spell/&BestowCurseOnActionTurnTitle	Conferisci maledizione (Azione)
Spell/&BestowCurseOnAttackRollTitle	Conferisci maledizione (Attacco)
Spell/&BestowCurseOnDamageAddNecroticTitle	Conferisci maledizione (Danno)
Spell/&BestowCurseTitle	Conferisci maledizione
Spell/&BlessDescription	Aumenta i tiri salvezza e i tiri per colpire dei tuoi alleati per un periodo di tempo limitato.
Spell/&BlessTitle	Benedizione
Spell/&BlindnessDescription	Accecare un nemico per un minuto.
Spell/&BlindnessTitle	Cecità
Spell/&BlurDescription	Ti rende sfocato e più difficile da colpire fino a un minuto.
Spell/&BlurTitle	Sfocatura
Spell/&BrandingSmiteDescription	Il tuo prossimo colpo provoca danni radianti aggiuntivi e il tuo bersaglio diventa luminoso.
Spell/&BrandingSmiteTitle	Branding Smite
Spell/&BurningHandsDescription	Spruzza un cono di fuoco davanti a te.
Spell/&BurningHandsTitle	Mani Brucianti
Spell/&CharmPersonDescription	Diventa un alleato di un nemico.
Spell/&CharmPersonTitle	Charm
Spell/&ChillTouchDescription	Infliggi danni a un nemico e previeni la guarigione per un periodo di tempo limitato.
Spell/&ChillTouchTitle	Tocco Gelido
Spell/&ColorSprayTitle	Spruzzo Colorato
Spell/&ConjureGoblinoidsDescription	Evoca 2 goblin che obbediscono ai tuoi ordini a meno che tu non perda la concentrazione.
Spell/&ConjureGoblinoidsTitle	Evoca i Goblinoidi
Spell/&CounterspellDescription	Interrompi il lancio di incantesimi di un nemico.
Spell/&CounterspellTitle	Controincantesimo
Spell/&CreateFoodDescription	Evoca 15 unità di cibo.
Spell/&CreateFoodTitle	Crea cibo
Spell/&CureWoundsDescription	Guarisci un alleato con il tocco.
Spell/&CureWoundsTitle	Cura ferite
Spell/&DancingLightsDescription	Crea luci danzanti che si muovono al tuo comando.
Spell/&DancingLightsTitle	Luci danzanti
Spell/&DarknessDescription	Crea un'area di magica oscurità.
Spell/&DarknessTitle	Buio
Spell/&DarkvisionDescription	Concedi Scurovisione al bersaglio.
Spell/&DarkvisionTitle	Scurovisione
Spell/&DaylightDescription	Evoca un globo di luce brillante.
Spell/&DaylightTitle	Luce diurna
Spell/&DazzleDescription	Abbassa la CA di un bersaglio e previeni la reazione fino all'inizio del suo prossimo turno.
Spell/&DazzleTitle	Abbaglia
Spell/&DetectEvilAndGoodDescription	Rileva le creature vicine di natura cattiva o buona.
Spell/&DetectEvilAndGoodTitle	Rileva il male e il bene
Spell/&DetectMagicDescription	Rileva creature o oggetti magici nelle vicinanze.
Spell/&DetectMagicTitle	Individuazione del magico
Spell/&DispelMagicDescription	Termina gli incantesimi attivi su una creatura o un oggetto.
Spell/&DispelMagicTitle	Dissolvi magie
Spell/&DivineFavorDescription	Ottieni danni radianti aggiuntivi per un periodo di tempo limitato.
Spell/&DivineFavorTitle	Favore divino
Spell/&EnhanceAbilityBearsEnduranceDescription	Guadagna punti ferita temporanei e vantaggio alle prove di Costituzione.
Spell/&EnhanceAbilityBearsEnduranceTitle	Durezza dell'Orso
Spell/&EnhanceAbilityBullsStrengthDescription	Capacità di carico aumentata e vantaggio nelle prove di Forza.
Spell/&EnhanceAbilityBullsStrengthTitle	Forza del toro
Spell/&EnhanceAbilityCatsGraceDescription	Danni da caduta ridotti e vantaggio alle prove di Destrezza.
Spell/&EnhanceAbilityCatsGraceTitle	Grazia del gatto
Spell/&EnhanceAbilityDescription	Concedi poteri temporanei a un alleato per un massimo di un'ora.
Spell/&EnhanceAbilityEaglesSplendorDescription	Vantaggio sulle prove di Carisma.
Spell/&EnhanceAbilityEaglesSplendorTitle	Splendore dell'Aquila
Spell/&EnhanceAbilityFoxsCunningDescription	Vantaggio sui controlli di intelligence.
Spell/&EnhanceAbilityFoxsCunningTitle	Astuzia della Volpe
Spell/&EnhanceAbilityOwlsWisdomDescription	Vantaggio sulle prove di saggezza.
Spell/&EnhanceAbilityOwlsWisdomTitle	Saggezza del gufo
Spell/&EnhanceAbilityTitle	Caratteristica Potenziata
Spell/&ExpeditiousRetreatDescription	Guadagna punti movimento e diventa in grado di scattare come azione bonus per un periodo di tempo limitato.
Spell/&ExpeditiousRetreatTitle	Ritiro rapido
Spell/&FaerieFireDescription	Evidenzia le creature per dare vantaggio a chiunque le attacchi.
Spell/&FaerieFireTitle	Luminescenza
Spell/&FalseLifeDescription	Ottieni alcuni punti ferita temporanei per un periodo di tempo limitato.
Spell/&FalseLifeTitle	Falsa vita
Spell/&FearDescription	Spaventare le creature e costringerle a fuggire.
Spell/&FearTitle	Paura
Spell/&FeatherFallDescription	Fornisci un atterraggio sicuro quando tu o un alleato cadete.
Spell/&FeatherFallTitle	Caduta Morbida
Spell/&FindTrapsDescription	Individua trappole meccaniche e magiche, ma non pericoli naturali.
Spell/&FindTrapsTitle	Trova trappole
Spell/&FireballDescription	Lancia una palla di fuoco che esplode da un punto a tua scelta.
Spell/&FireballTitle	Palla di Fuoco
Spell/&FireBoltDescription	Lancia un fulmine.
Spell/&FireBoltTitle	Dardo di Fuoco
