BlueprintCategory/&BarrierTitle	Barreiras
BlueprintCategory/&EmptyRoomsTitle	Quartos vazios
BlueprintCategory/&EncounterTitle	Encontro
BlueprintCategory/&FurnishedRoomsTitle	Quartos mobiliados
BlueprintCategory/&FurnitureTitle	Mobília
BlueprintCategory/&LightingTitle	Iluminação
BlueprintCategory/&LootTitle	Saque
BlueprintCategory/&LoreTitle	Lore
BlueprintCategory/&NavigationTitle	Navegação
BlueprintCategory/&ObstacleTitle	Obstáculos
BlueprintCategory/&OpeningsTitle	Vagas
BlueprintCategory/&OrnamentsTitle	Enfeites
BlueprintCategory/&RestingTitle	Em repouso
BlueprintCategory/&StructureTitle	Estruturas
BlueprintCategory/&TrapsTitle	Armadilhas
BlueprintCategory/&ActivatorsTitle	Ativadores
BlueprintCategory/&PartitionsTitle	Partições
BlueprintCategory/&AdventuringTitle	Aventuras
BlueprintCategory/&BlockersTitle	Bloqueadores
