MonsterAttacks/&Attack_Bite_Title	Morder
MonsterAttacks/&Attack_Claws_Title	Garras
MonsterAttacks/&Attack_DreadfulGlare_Title	Brilho terrível
MonsterAttacks/&Attack_GhoulishClaw_Title	Garra macabra
MonsterAttacks/&Attack_PoisonousBite_Title	Mordida venenosa
MonsterAttacks/&Attack_RottingFist_Title	Punho Apodrecido
MonsterAttacks/&Attack_Shrieker_Description	Uma lâmina amaldiçoada, forjada pelos antigos ferreiros de Sorr-Akkath nas forjas de Tirmar e abençoada por Sorr-Tarr.
MonsterAttacks/&Attack_Shrieker_Title	Nekkesh Blade
MonsterAttacks/&Attack_Spine_Title	Espinha Venenosa
MonsterAttacks/&Attack_Spit_Title	Cuspir
MonsterAttacks/&Attack_Talons_Title	Garras
MonsterAttacks/&Attack_Web_Title	Poison Web
MonsterAttacks/&Attack_Slam_Title	bater
MonsterAttacks/&Attack_Ghost_Blade_Title	Lâmina murcha
MonsterAttacks/&Attack_Ghost_Touch_Title	Toque fulminante
MonsterAttacks/&Attack_Beak_Title	Bico
MonsterAttacks/&Attack_SkeletalMarksman_Bow	Flecha Necrótica
MonsterAttacks/&Attack_SkeletalMarksman_Sword	Espada Curta Enferrujada
MonsterAttacks/&Attack_Fire_Touch	Burning Touch
MonsterAttacks/&Attack_Grimblade	Lâmina de gelo
MonsterAttacks/&Attack_Grimblade_IceDagger	Punhal de gelo
MonsterAttacks/&Attack_AcidSpit	Cuspir ácido
MonsterAttacks/&Attack_AcidBite	Mordida ácida
MonsterAttacks/&Attack_Freeze_Title	Congelar
MonsterAttacks/&Attack_Fire_Title	Toque
MonsterAttacks/&Attack_ShockingAntenna_Title	Antena Chocante
MonsterAttacks/&Attack_ShockingAntenna_Description	Os fanáticos podem transmitir uma descarga elétrica poderosa com suas antenas.
MonsterAttacks/&Attack_PheromoneSpray_Title	Spray de feromônio
MonsterAttacks/&Attack_PheromoneSpray_Description	Os peregrinos podem borrifar um feromônio em um alvo que queima a pele e deixa seus aliados frenéticos.
MonsterAttacks/&Attack_Tail_Title	Cauda
MonsterAttacks/&AttackNecroticBite_Title	Mordida necrótica
