NPC/&Kaseinax_Magister_Title	O magister
NPC/&MasterOfMagic_Title	Mestre da Magia
NPC/&Merchant	Comerciante
NPC/&NPC_Adam_the_twelfth_Title	Adam o décimo segundo
NPC/&NPC_AkshaTitle	Aksha
NPC/&NPC_AlenaSwiftTitle	Alena Swift
NPC/&NPC_Angbi_Title	Angbi Kramsson
NPC/&NPC_AnnieBagmordahTitle	Annie Bagmordah
NPC/&NPC_ArwinMertonTitle	Arwin Merton
NPC/&NPC_ArwinMertonUnknownTitle	Bêbado desconhecido
NPC/&NPC_AtimaBladeburnTitle	Atima Bladeburn
NPC/&NPC_BanditCrossbowDescription	Este bandido recua para atirar com uma besta.
NPC/&NPC_BanditCrossbowTitle	Escaramuçador de bandido
NPC/&NPC_BanditDescription	Um lutador malévolo usando uma cimitarra.
NPC/&NPC_BanditDwarfDescription	Baixo e robusto, esse bandido empunha uma cimitarra.
NPC/&NPC_BanditDwarfTitle	Anão bandido
NPC/&NPC_BanditHalflingDescription	Curto e ágil, esse bandido carrega uma besta.
NPC/&NPC_BanditHalflingTitle	Anão bandido
NPC/&NPC_BanditLoanSharkDescription	Agiota
NPC/&NPC_BanditLoanSharkTitle	Agiota
NPC/&NPC_BanditQuartermasterTitle	Bandit Quartermaster
NPC/&NPC_BanditSwordsmanDescription	Alto e poderoso, este bandido empunha uma espada grande.
NPC/&NPC_BanditSwordsmanTitle	Highwayman
NPC/&NPC_BanditTitle	Bandido
NPC/&NPC_BericSunblazeTitle	Marshal Beric Sunblaze
NPC/&NPC_BerylStonebeardTitle	Beryl Stonebeard
NPC/&NPC_BradfordRavensworthTitle	Bradford Ravensworth
NPC/&NPC_CeiwadSilverflowerTitle	Princesa Ceiwad Silverflower
NPC/&NPC_CitizenTitle	Cidadão
NPC/&NPC_CityGuardTitle	Guarda da Cidade
NPC/&NPC_CoparannGuardTitle	Guarda Coparann
NPC/&NPC_DalonLarkTitle	Capelão Dalon Lark
NPC/&NPC_DarikSunbirdTitle	Daliat Sunbird
NPC/&NPC_DekTitle	Dek
NPC/&NPC_EdvanDanantarTitle	Grão Mestre Edvan Danantar
NPC/&NPC_Galar_Title	Galar Goldentongue
NPC/&NPC_GorimIronsootTitle	Gorim Ironsoot
NPC/&NPC_Gromnir_Title	Barão Gromnir Punho de Pedra
NPC/&NPC_HalmanGormsdottirTitle	Chanceler Hertha Gormsdottir
NPC/&NPC_HalmanSummerTitle	Halman Summer
NPC/&NPC_HeatherMerranTitle	Capitã Heather Merran
NPC/&NPC_HectorTitle	Hector
NPC/&NPC_HeddlonSurespellTitle	Heddlon Surespell
NPC/&NPC_Hieronymus	Herói Desconhecido
NPC/&NPC_HugoRequerTitle	Hugo Requer
NPC/&NPC_IdrielFairbrowTitle	Idriel Fairbrow
