Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&AbilityCheckFormat	{0} d20 {1}
Rules/&AbilityCheckVersusDcFormat	{0} d20 {1} vs DC {2}
Rules/&AbilityScoreBonusFormat	+ Bônus de habilidade
Rules/&ActivationTypeActionTitle	Açao
Rules/&ActivationTypeBonusActionTitle	Ato bônus.
Rules/&ActivationTypeHours1Title	1 hora
Rules/&ActivationTypeHours24Title	24 horas
Rules/&ActivationTypeMinute10Title	10 minutos
Rules/&ActivationTypeMinute1Title	1 minuto
Rules/&ActivationTypeNoCostTitle	Ato livre.
Rules/&ActivationTypeOnAttackHitTitle	No acerto
Rules/&ActivationTypeOnAttackHitWithBowTitle	Ao acertar (arco)
Rules/&ActivationTypePermanentUnlessIncapacitatedTitle	Permanente
Rules/&ActivationTypeReactionTitle	Reação
Rules/&ActivationTypeRestDescription	Este poder pode ser ativado durante um descanso
Rules/&ActivationTypeRestTitle	Descanso
Rules/&AlignmentDescription	Uma criatura típica no mundo do jogo tem um alinhamento, que descreve amplamente suas atitudes morais e pessoais. O alinhamento é uma combinação de dois fatores: um identifica a moralidade (bom, mau ou neutro) e o outro descreve as atitudes em relação à sociedade e à ordem (legal, caótica ou neutra).
Rules/&AlignmentTitle	Alinhamento
Rules/&AlterationFormExtinguishFireFormat	Apagar o fogo
Rules/&AlterationFormExtinguishLightFormat	Apaga as luzes
Rules/&AlterationFormRemoveDarknessFormat	Remove Darkness
Rules/&AlterationFormRevealTrapFormat	Revela armadilhas
Rules/&AlterationFormUnlockFormat	Desbloqueia um objeto alvo
Rules/&ChallengeDifficultyDeadlyTitle	Mortal
Rules/&ChallengeDifficultyEasyTitle	Fácil
Rules/&ChallengeDifficultyHardTitle	Duro
Rules/&ChallengeDifficultyMediumTitle	Médio
Rules/&ConditionAcidifiedDescription	Recebendo dano de ácido a cada turno até o fim do efeito.
Rules/&ConditionAcidifiedTitle	Acidificado
Rules/&ConditionAidedDescription	Pontos de vida (máximo / atual) aumentados em 5 + avanço.
Rules/&ConditionAidedTitle	Auxiliado
Rules/&ConditionAntitoxin	Vantagem em testes de resistência de Constituição contra veneno.
Rules/&ConditionAsleepDescription	Incapaz de agir até acordar
Rules/&ConditionAsleepTitle	Dormindo
Rules/&ConditionAuraOfCourageDescription	Imunidade de medo.
Rules/&ConditionAuraOfCourageTitle	Aura of Courage
Rules/&ConditionAuraOfProtectionDescription	{0} bônus em testes de resistência.
Rules/&ConditionAuraOfProtectionTitle	Aura de proteção
Rules/&ConditionBackFromTheDead1Description	-1 penalidade nas jogadas de ataque, testes de resistência e testes de habilidade. Conclua um longo descanso para reduzir a penalidade.
Rules/&ConditionBackFromTheDead2Description	-2 de penalidade em jogadas de ataque, testes de resistência e testes de habilidade. Conclua um longo descanso para reduzir a penalidade.
Rules/&ConditionBackFromTheDead3Description	-3 de penalidade em jogadas de ataque, testes de resistência e testes de habilidade. Conclua um longo descanso para reduzir a penalidade.
Rules/&ConditionBackFromTheDead4Description	-4 de penalidade em jogadas de ataque, testes de resistência e testes de habilidade. Conclua um longo descanso para reduzir a penalidade.
Rules/&ConditionBackFromTheDeadTitle	De volta da morte
Rules/&ConditionBanedDescription	-1d4 para ataques, -1d4 para testes de resistência.
Rules/&ConditionBanedTitle	Banestruck
Rules/&ConditionBarkskinDescription	A Classe de Armadura da criatura torna-se pelo menos 16.
Rules/&ConditionBarkskinTitle	Barkskin
Rules/&ConditionBeaconOfHopeDescription	Vantagem em testes de resistência de Sabedoria e morte; a cura restaura o máximo de pontos de vida possíveis.
Rules/&ConditionBeaconOfHopeTitle	Farol da Esperança
Rules/&ConditionBearsEnduranceDescription	Vantagem nos testes de resistência de Constituição.
Rules/&ConditionBlessedDescription	+ 1d4 para ataques, + 1d4 para testes de resistência.
Rules/&ConditionBlessedTitle	Abençoado
Rules/&ConditionBlessingSorr-TarrTitle	Bênção de Sorr-Tarr
Rules/&ConditionBlindedDescription	Não consigo ver nada; desvantagem em ataques; ataques contra a criatura têm vantagem.
Rules/&ConditionBlindedTitle	Cego
Rules/&ConditionBlurredDescription	Ataques à criatura têm desvantagem.
Rules/&ConditionBlurredTitle	Borrado
